site_id,site_name,cpt_name,borehole_id,latitude,longitude,qc10_mpa,qc50_mpa,ic_median,theta_z_m,n_profile_points,data_source
Canterbury_00000,100 Osbourne St - CPT01 TabulatedData.xls,100 Osbourne St - CPT01 TabulatedData,CPT01,-43.54312348,172.66165055,0.83256,5.60448,1.3232026610038807,1.1991473671687558,1064,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00001,115 Paparoa Street - CPT01 TabulatedData.xls,115 Paparoa Street - CPT01 TabulatedData,CPT01,-43.49902208,172.61920072,0.36316000000000004,2.1329000000000002,1.3510282961483324,1.1960502145867302,960,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00002,151103.ps.34668_17Slater_CPT02_TabulatedData.xls,151103.ps.34668_17Slater_CPT02_TabulatedData,CPT02,-43.51651748,172.65263346,0.631018,9.9139,1.2080081616354679,1.1920713729449162,1037,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00003,186 Woodham Road - CPT01 TabulatedData.xls,186 Woodham Road - CPT01 TabulatedData,CPT01,-43.52528329,172.67385946,1.71842,11.47429,1.2738492432661905,1.194605145082459,1045,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00004,195 Hereford st - CPT01 TabulatedData.xls,195 Hereford st - CPT01 TabulatedData,CPT05,-43.53183004,172.64162255,0.9719000000000001,3.34908,1.3696267299614593,1.1965906803127169,1319,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00005,195 Hereford st - CPT02 TabulatedData.xls,195 Hereford st - CPT02 TabulatedData,CPT04,-43.53164995,172.64159886,1.01738,2.84402,1.4636400346004794,1.1986380695327181,1031,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00006,"21 Francis Ave, Christchurch - CPT01 TabulatedData.xls","21 Francis Ave, Christchurch - CPT01 TabulatedData",CPT01,-43.50745828,172.64529012,0.6065920000000001,5.71843,1.2876938376664584,1.1997828569751867,1038,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00007,23 Sydney Street - CPT01 TabulatedData.xls,23 Sydney Street - CPT01 TabulatedData,CPT01,-43.55133706,172.61990102,0.749652,3.35634,1.2567240708302985,0.519584719791776,483,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00008,258 Lichfield Street - CPT01 TabulatedData.xls,258 Lichfield Street - CPT01 TabulatedData,CPT01,-43.53427502,172.6493528,2.682108,13.537660000000002,1.2718075253695127,0.6997601274828735,1035,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00009,258 Lichfield Street - CPT02 TabulatedData.xls,258 Lichfield Street - CPT02 TabulatedData,CPT02,-43.5347429,172.64930062,1.627796,16.92686,1.3284217040086452,1.1769653811155845,1038,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00010,258 Lichfield Street - CPT03 TabulatedData.xls,258 Lichfield Street - CPT03 TabulatedData,CPT03,-43.53475989,172.64896649,2.019832,6.215700000000001,1.271484874094786,0.6394888858975492,1038,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00011,282 Kilmore St - CPT01 TabulatedData.xls,282 Kilmore St - CPT01 TabulatedData,CPT01,-43.52714649,172.64936904,1.897816,14.222000000000001,1.4399373507025712,1.177470481639098,1060,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00012,282 Kilmore St - CPT02 TabulatedData.xls,282 Kilmore St - CPT02 TabulatedData,CPT02,-43.52715677,172.64978957,1.3105799999999999,8.115540000000001,1.3010078425312959,1.1987694250207248,801,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00013,282 Kilmore St - CPT03 TabulatedData.xls,282 Kilmore St - CPT03 TabulatedData,CPT03,-43.52736337,172.64965231,0.93444,11.86482,1.4109343952727809,1.199290756029221,876,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00014,"344 River Rd, Lincoln - CPT01 TabulatedData.xls","344 River Rd, Lincoln - CPT01 TabulatedData",CPT01,-43.67878493,172.5138331,0.5583400000000001,3.7887000000000004,1.2338647533332567,0.7599295759771308,791,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00015,"344 River Rd, Lincoln - CPT02 TabulatedData.xls","344 River Rd, Lincoln - CPT02 TabulatedData",CPT02,-43.67898367,172.51400514,0.58728,3.985,1.285973236610642,0.8190829432595539,864,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00016,44 Clissold Street - CPT01 TabulatedData.xls,44 Clissold Street - CPT01 TabulatedData,CPT01,-43.51839297,172.61952497,1.6556920000000002,6.90062,1.2983900728674518,1.1592430343359064,223,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00017,452b Bower Ave - CPT01 TabulatedData.xls,452b Bower Ave - CPT01 TabulatedData,CPT01,-43.48223648,172.71237159,5.1628,14.744000000000002,1.3492098705527096,0.9994843879471915,1017,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00018,53 Lagan Street - CPT01 TabulatedData.xls,53 Lagan Street - CPT01 TabulatedData,CPT01,-43.45215318,172.62160623,0.608076,1.76034,1.450852315591848,0.5183177302792643,982,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00019,"58 Ferry Rd, Woodend Beach - CPT01 TabulatedData.xls","58 Ferry Rd, Woodend Beach - CPT01 TabulatedData",CPT01,-43.34039091,172.70210364,0.5472800000000001,9.03491,1.3310621721949143,1.1980342193126248,817,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00020,6 Moyna Ave - CPT02 TabulatedData (revised).xls,6 Moyna Ave - CPT02 TabulatedData (revised),CPT02,-43.51262118,172.67773626,1.781126,12.40552,1.3738133430982575,1.1973199567009019,851,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00021,67 Mays Road - CPT01 TabulatedData.Finalised.xls,67 Mays Road - CPT01 TabulatedData.Finalised,CPT01,-43.50335337,172.6197672,0.620952,1.73258,1.06450540149761,0.8599203096583299,523,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00022,7 Nautilus Pl - CPT01 TabulatedData.xls,7 Nautilus Pl - CPT01 TabulatedData,CPT01,-43.43080194,172.69696648,8.845559999999999,16.93374,1.3333029897994253,1.1992093487557653,1016,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00023,79 Warrington Street - CPT01 TabulatedData.xls,79 Warrington Street - CPT01 TabulatedData,CPT01,-43.50791561,172.64766178,0.33008000000000004,4.54554,1.203452502325308,1.1985468296455792,1078,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00024,7B Arosa Place - CPT01 TabulatedData.xls,7B Arosa Place - CPT01 TabulatedData,CPT01,-43.47632782,172.70366117,0.6086600000000001,8.539259999999999,1.1692746505250327,1.1989821856052352,785,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00025,ARA-POD01-CPT01TT.xls,ARA-POD01-CPT01TT,ARA-POD01-CPT01,-43.50624171,172.70963952,1.75304,10.6684,1.1666931940025407,1.079999999999989,751,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00026,ARA-POD01-CPT02TT.xls,ARA-POD01-CPT02TT,ARA-POD01-CPT02,-43.50634476,172.70988684,2.4298200000000003,14.27606,1.2574220665847484,0.93999999999998,1002,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00027,ARA-POD01-CPT04TT.xls,ARA-POD01-CPT04TT,ARA-POD01-CPT04,-43.50684407,172.71044031,8.647459999999999,14.362200000000001,1.2577928987759075,0.25999999999999446,1002,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00028,ARA-POD01-CPT05TT.xls,ARA-POD01-CPT05TT,ARA-POD01-CPT05,-43.50711761,172.71022817,6.4302,13.1208,1.1423449895911073,0.5999999999999872,2004,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00029,ARA-POD01-CPT07TT.xls,ARA-POD01-CPT07TT,ARA-POD01-CPT07,-43.50848379,172.71024901,5.668100000000001,13.6959,1.2815224053291434,1.1999999999999744,1001,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00030,ARA-POD01-CPT08TT.xls,ARA-POD01-CPT08TT,ARA-POD01-CPT08,-43.50846556,172.71026307,3.3731199999999997,12.2482,1.2047635607040772,0.5999999999999872,2020,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00031,ARA-POD01-CPT10TT.xls,ARA-POD01-CPT10TT,ARA-POD01-CPT10,-43.50635469,172.71071889,6.91376,12.07604,1.2046014811794417,1.1999999999999744,1001,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
