score,probability_bin,n_cases,mean_predicted_probability,observed_liquefaction_rate
combined_instrument_score,"(0.0156, 0.321]",47,0.1782768792881095,0.1276595744680851
combined_instrument_score,"(0.321, 0.539]",47,0.44463576111705744,0.425531914893617
combined_instrument_score,"(0.539, 0.702]",46,0.6314550843361711,0.7391304347826086
combined_instrument_score,"(0.702, 0.815]",47,0.7620582334978641,0.7659574468085106
combined_instrument_score,"(0.815, 0.996]",47,0.8907159609504912,0.851063829787234
dpt_screening_score,"(0.0543, 0.423]",47,0.2505485073405408,0.1702127659574468
dpt_screening_score,"(0.423, 0.544]",47,0.47730830720292283,0.425531914893617
dpt_screening_score,"(0.544, 0.652]",46,0.6035120650005493,0.7608695652173914
dpt_screening_score,"(0.652, 0.774]",47,0.7062265416620096,0.8085106382978723
dpt_screening_score,"(0.774, 0.994]",47,0.8695677220278978,0.7446808510638298
vs_screening_score,"(0.0735, 0.34]",47,0.22324793284689737,0.1276595744680851
vs_screening_score,"(0.34, 0.535]",47,0.44561944694354483,0.46808510638297873
vs_screening_score,"(0.535, 0.685]",46,0.6123720640309486,0.6956521739130435
vs_screening_score,"(0.685, 0.797]",47,0.738420822383543,0.851063829787234
vs_screening_score,"(0.797, 0.999]",47,0.8882556604356676,0.7659574468085106
