case_id,source_dataset,validation_split,earthquake,site,mw,pga,csr75,groundwater_table_m,critical_layer_depth_m,unsaturated_cap_or_cover_m,n120,vs1_ms,fc_pct,gc_pct,observed_liquefaction,n1_60cs_proxy,crr_static_benchmark,fs_static_proxy,g_static_proxy,pf_static_proxy,combined_instrument_score,dpt_screening_score,vs_screening_score
HU-001,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Guoyuan village, Deyang, DY-28",7.9,0.21,0.1720682583241594,1.5,1.9,0.0,16.014958827608645,220.10281791362,,9.0,1,,,,,,-0.23918642625052855,-0.33341140666782676,-0.3166317595695924
HU-002,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Songbai village, Deyang, DY-45",7.9,0.24,0.3023049394214817,0.8,4.6,0.0,10.785034273738509,234.26958134040427,5.0,53.0,1,10.785034273738509,0.14060817696917552,0.46512034251989454,-0.5348796574801055,0.9971127273651792,0.16834169430911827,0.26461807920433417,0.024060547998880674
HU-003,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Qingliang Village, Deyang, DY-06",7.9,0.24,0.2829148019802971,1.0,4.0,0.0,20.914722945991457,247.30661499764835,5.0,50.0,1,20.914722945991457,0.2929507564540793,1.0354734160373875,0.03547341603738752,0.44998320022073063,-0.17025087188591226,-0.15111657297253878,-0.12157939196175284
HU-004,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Nangui village, Deyang",7.9,0.24,0.2316544199053896,4.7,11.9,0.6000000000000005,11.43713002382233,260.1034794041863,5.0,40.0,0,11.43713002382233,0.14864938658731378,0.6416859503394062,-0.35831404966059377,0.9451857794138534,-0.5010317222096777,-0.35733161937188823,-0.7215014740908205
HU-005,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Jinqiao village, Deyang, DY-38",7.9,0.139,0.1404591564884019,2.2,5.1,0.0,7.690319784141161,181.19481794434037,,0.5,1,,,,,,-0.040156266739473104,-0.20552253647103136,-0.2516600733690479
HU-006,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Shenghua Village, Deyang",7.9,0.18,0.1864589564149429,2.0,5.0,1.4,14.6078899913711,245.67703147896916,5.0,54.9,0,14.6078899913711,0.1912123276269521,1.0254928553897467,0.02549285538974666,0.46383475179431943,-0.37757359323548895,-0.3510801683909086,-0.5263029266218145
HU-007,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Baijiang Village, Deyang, DY-24",7.9,0.23,0.2174386347326174,2.2,4.1,0.7,14.939537464761653,162.55655788750204,,0.4,1,,,,,,0.00013857679183008377,-0.2711435165557969,0.033783112473564116
HU-008,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Anping Village, Deyang, DY-35",7.9,0.139,0.1365314384742667,1.8,3.3,0.0,9.43230049791284,176.78780416033848,,0.5,1,,,,,,-0.031657813811188026,-0.2356511082422581,-0.19783295219651925
HU-009,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Shengli village, Deyang, DY-07",7.9,0.21,0.2027297125123776,1.9,3.7,0.0,12.1443950747153,220.93774838844595,7.5,22.8,1,12.470731066212526,0.16189287572132083,0.7985651127060939,-0.20143488729390613,0.7913602191660695,-0.13001246643802084,-0.15894614662805628,-0.278181343599718
HU-010,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Changzheng village, Deyang",7.9,0.2,0.1969628289040254,1.0,2.0,0.0,19.02494618672577,220.67829909656228,5.0,35.0,1,19.02494618672577,0.26008096805496633,1.3204571111318506,0.3204571111318506,0.15807179133132065,-0.20773130502561704,-0.31890341979777,-0.2032594893695545
HU-011,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Qifu Elementary School, Mianzhu, DY-26",7.9,0.3,0.2587804522948588,3.5,5.3,0.7,12.264285130370876,189.2047935282178,5.0,39.7,1,12.264285130370876,0.1591989027646218,0.6151890583421189,-0.3848109416578811,0.9601072569832805,-0.0814043801058432,-0.19742979684630288,-0.13358614161093113
HU-012,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Dacheng village, Deyang",7.9,0.32,0.2722207254439006,4.5,6.8,1.9,22.58485743540035,252.6894752393993,5.0,60.9,0,22.58485743540035,0.3236989251231581,1.1891046304255999,0.18910463042559988,0.2661242337689151,-0.6712205605061349,-0.6571398985356548,-0.6013108968044655
HU-013,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Wulang village, Deyang",7.9,0.2,0.1781078505857408,5.0,9.0,1.9,12.13673151669744,252.2688394136538,,20.0,0,,,,,,-0.6802862605705774,-0.6060654622389973,-0.9023053532200964
HU-014,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Yangjia railway station, Deyang",7.9,0.2,0.1533419796563156,6.1,7.4,2.5,20.018698534510804,199.70847007376315,5.0,75.4,0,20.018698534510804,0.2771113690234128,1.8071461555700583,0.8071461555700583,0.01642543957073439,-0.8451181570974775,-1.0725436363799654,-0.8048928512018303
HU-015,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Heping village, Deyang",7.9,0.18,0.1835247262860114,3.7,10.8,0.8,23.47846345629664,284.4151935712084,5.0,50.0,0,23.47846345629664,0.3408053071099622,1.8569994027880428,0.8569994027880428,0.012806360672418471,-0.874702715072449,-0.80459053534541,-0.8974177652704894
HU-016,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Min'an village, Deyang",7.9,0.25,0.2415510822231697,3.7,8.2,3.7,16.91103090341379,250.29223517932505,5.0,68.6,0,16.91103090341379,0.22573076450184065,0.9345052914864914,-0.06549470851350858,0.5964889243763186,-0.5895407863223989,-0.5387040300177341,-0.6618303861776937
HU-017,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Xiaojia village, Chengdu, CD-08",7.9,0.17,0.1403944227671962,1.4,1.8,0.4,7.167410620300751,238.59509278511464,,22.0,1,,,,,,-0.1808600036839816,-0.12448136824531617,-0.5121640535156665
HU-018,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Jingxing village, Pixian, CD-01",7.9,0.21,0.2458258483514446,0.9,3.5,0.0,15.563295821556189,241.53254122259085,5.0,65.0,1,15.563295821556189,0.20516362374088598,0.8345893042442554,-0.16541069575574463,0.7428114979250344,-0.09544539507786783,-0.05974895471538129,-0.17918069873677378
HU-019,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Qingbaijiang Bridge, Pengzhou",7.9,0.21,0.1678610817624346,3.0,3.7,3.0,35.76326327392398,274.864631180595,5.0,80.0,0,35.76326327392398,0.49107142857142855,2.9254632665028177,1.9254632665028177,5.4201571128842385e-05,-1.1663241235851458,-1.2804371026315218,-0.9026387438016484
HU-020,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Lingfeng machinery company, Mianyang",7.9,0.2,0.1700886575785145,4.1,6.1,0.6,17.506215896075314,236.07462317463404,5.0,30.0,0,17.506215896075314,0.2351439972354505,1.3824789999703884,0.38247899997038837,0.12141651408089665,-0.6177683871222295,-0.6699766619206972,-0.692707701394817
HU-021,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Yongquan Village, Mianyang, MY-02",7.9,0.24,0.2658048351761837,1.3,4.0,0.0,9.777505749233232,182.2735789449308,,5.0,1,,,,,,0.2606277936358309,0.15086742146689586,0.16944999422598506
HU-022,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Jushui valliage, Kaijiang bridge, Mianyang",7.9,0.295,0.3643350216002027,0.8,4.1,0.3,62.12299574231752,423.70973908444495,5.0,65.0,0,62.12299574231752,0.49107142857142855,1.347856778671961,0.3478567786719611,0.14085735720684028,-1.5867339562860499,-1.3213508951298,-0.888989997186836
HU-023,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Xiangliu village, Mianzhu, DY-03",7.9,0.295,0.2483289090573517,3.4,4.8,0.4,19.960076061068413,254.74421734956067,5.0,76.6,1,19.960076061068413,0.2760910653977875,1.1117959098915227,0.11179590989152266,0.3511707680561648,-0.5022361908861914,-0.4650713683677052,-0.5098765344033952
HU-024,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Anren Village, Mianzhu, DY-02",7.9,0.295,0.2346732208800813,4.0,5.0,0.0,28.250391419824,282.6884141761054,1.0,75.4,1,28.250391419824,0.4398791959216658,1.874432857196115,0.8744328571961151,0.01173396344044697,-0.8671725619561588,-0.8268493549011117,-0.7480528080747267
HU-025,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Chuanmu village, Mianzhu",7.9,0.41,0.300623733817234,8.0,9.2,6.0,17.97626041896108,227.58429123374637,5.0,70.0,0,17.97626041896108,0.24272111176351555,0.8073917141588005,-0.1926082858411995,0.7797977132241545,-0.919562385053653,-0.9307542530110167,-0.8896439251432917
HU-026,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Yongfeng Village, Mianzhu, DY-04",7.9,0.34,0.3322683926928371,2.8,6.0,0.0,14.006251652953178,254.9443279040358,3.8,57.2,1,14.006251652953178,0.18269456552844593,0.5498403385522633,-0.45015966144773667,0.9844933627242347,-0.11720268701709811,0.03836623339377537,-0.2095450814169032
HU-027,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Shuangquan Village, Mianzhu, DY-30",7.9,0.49,0.4047772486632311,2.5,3.3,0.0,19.783248887281605,233.006736081424,5.0,50.0,1,19.783248887281605,0.27302534574673926,0.6745076375917868,-0.3254923624082132,0.922193125794031,0.01647398562663195,0.0676864667441907,0.1395079395243777
HU-028,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Tonglin village, Mianzhu",7.9,0.48,0.5572808242118806,2.0,10.2,0.0,21.40088892721515,228.21306556214256,5.0,50.0,0,21.40088892721515,0.30173690251101926,0.5414449760365297,-0.45855502396347025,0.9865300477455243,0.36738776686276853,0.4737132195446843,0.6274534626009706
HU-029,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Wudu Village, Mianzhu, DY-31",7.9,0.48,0.5518529661043775,1.6,6.3,0.0,7.422281569613897,166.86652757678934,0.0,51.0,1,7.422281569613897,0.10299836687497745,0.1866409590983268,-0.8133590409016732,0.9999999992894573,0.9424125512915719,0.9728418826400983,0.9984400729223754
HU-030,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Linfa village, Mianzhu",7.9,0.47,0.3962489854446859,4.3,6.3,1.1,24.359797412950705,343.6923263487535,5.0,60.0,0,24.359797412950705,0.3581237109524729,0.903784549884898,-0.09621545011510202,0.6423725261818547,-0.7422615465034347,-0.33164790105506275,-0.7289705122327806
HU-031,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Changning Tianqi Village, Mianzhu, DY-29",7.9,0.43,0.3420660507743559,4.0,5.0,0.0,45.63675952407797,344.9960755439306,5.0,90.0,0,45.63675952407797,0.49107142857142855,1.4356041105504624,0.43560411055046244,0.0961318725136538,-1.2693534143969871,-1.1269214995966157,-0.8098000510286953
HU-032,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Linyan Village, Mianzhu, DY-10",7.9,0.594,0.4490118511212177,6.0,7.0,1.2,17.567324503593014,238.1731957251955,5.0,35.0,1,17.567324503593014,0.2361219277167195,0.5258701460264458,-0.4741298539735542,0.9897655246479491,-0.2531446233528284,-0.13092373160666232,-0.16342017701060405
HU-033,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Xinglong village, Mianzhu, DY-08",7.9,0.42,0.444105419573332,2.4,6.8,0.0,9.498785835723488,206.4578305780545,5.0,66.8,1,9.498785835723488,0.12545936022525764,0.2824990524677473,-0.7175009475322527,0.999997422629656,0.4413298526584066,0.5325730369395287,0.4052723081822293
HU-034,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Bayi village, Mianzhu",7.9,0.43,0.3140761107328219,6.2,6.7,2.1,14.49023788115499,236.75048440142996,5.0,50.0,0,14.49023788115499,0.1895303855683262,0.6034536823768676,-0.3965463176231324,0.9657259494574175,-0.5163477387032613,-0.4455821921549461,-0.5744398051324551
HU-035,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Pharmaceutical factory, Mianzhu",7.9,0.37,0.3250905855998405,3.4,5.4,1.3,15.578956787227868,296.42084319420786,5.0,50.0,0,15.578956787227868,0.20539665780311336,0.6318136141165883,-0.3681863858834117,0.9511164402737727,-0.43402376173599033,-0.14455773820663476,-0.5730936778605034
HU-036,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Xinshi School, Mianzhu, DY-27",7.9,0.34,0.3768632601023671,1.0,3.0,0.0,10.42552643041834,184.52022677336163,5.0,64.1,1,10.42552643041834,0.13627887456806725,0.3616135850734028,-0.6383864149265972,0.9998777922802784,0.5002424150111637,0.45818828767155373,0.48608051363938765
HU-037,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Shihu village, Mianzhu, DY-22",7.9,0.33,0.2869640449567077,2.9,4.4,0.0,13.814609469058787,177.2322522348414,,19.0,1,,,,,,0.07443240265695272,-0.08725291280080741,0.09672328970621769
HU-038,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Banqiao School, Mianzhu, DY-09",7.9,0.37,0.3232835539089171,3.0,4.6,1.5,12.185105777829808,173.7847607122536,5.0,49.0,1,12.185105777829808,0.15817213001148941,0.48926748081980476,-0.5107325191801952,0.9950284293333151,0.13188706872856865,-0.0025618570438235497,0.14558309470791625
HU-039,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Baiyang Village, Mianzhu",7.9,0.35,0.3680692572303274,1.5,3.8,0.0,9.638002284641232,189.9483091949224,5.0,60.0,1,9.638002284641232,0.1270533602495501,0.34518873215766477,-0.6548112678423352,0.9999373888617044,0.4297316853467298,0.4117243471242274,0.38227977952288
HU-040,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Guihua village, Mianzhu, DY-41",7.9,0.39,0.455491361187325,0.6,2.2,0.0,15.990301447584264,214.96969829145343,5.0,48.0,1,15.990301447584264,0.2115676219838317,0.4644821834432609,-0.5355178165567391,0.9971561906759205,0.46443322037135143,0.521108247538491,0.5660083346508858
HU-041,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Yongning village, Mianzhu",7.9,0.41,0.5026409477339917,1.4,10.2,0.0,36.66372960292265,333.2211720874219,4.0,50.0,0,36.66372960292265,0.49107142857142855,0.9769825375057067,-0.02301746249429326,0.5334611576070662,-0.42802275439666587,-0.13213456212341745,-0.052989302799372764
HU-042,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Sangyuan village, Mianzhu, DY-44",7.9,0.29,0.2332997200077425,2.8,3.5,1.6,15.20437395948942,235.9455653371421,5.0,63.7,1,15.20437395948942,0.19986130493623133,0.8566718593987106,-0.1433281406012894,0.7115312530686123,-0.34312523053308314,-0.33189159470986324,-0.43198218227419055
HU-043,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Wufang village, Mianzhu",7.9,0.27,0.2739497723203795,2.0,4.6,0.0,23.58546692351033,212.2942839484172,,25.8,0,,,,,,-0.21669842666837874,-0.3648140293107559,-0.04716334350295505
HU-044,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Baihutou Village, Shifang, DY-39",7.9,0.594,0.5652934113679787,1.2,2.2,0.0,22.471157083124712,237.4442520522688,5.0,50.0,1,22.471157083124712,0.3215550720235399,0.5688286216628538,-0.43117137833714625,0.9790479345233281,0.4044060936470066,0.538149500861323,0.6761225754109482
HU-045,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Siyuan Village, Shifang, DY-11",7.9,0.41,0.401058570737187,1.5,3.0,0.3,14.667211562172549,206.8830539624988,5.0,50.0,1,14.667211562172549,0.19206338202643308,0.47889110479150415,-0.5211088952084959,0.9960357662916517,0.3097912738725036,0.31838049315037587,0.36401445248576947
HU-046,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Zhenjiang village, Shifang, DY-42",7.9,0.29,0.3110576685149002,0.9,2.4,0.2,15.728840625403857,274.79381600222905,5.0,74.0,1,15.728840625403857,0.207634008003928,0.6675096903903592,-0.33249030960964077,0.9275228510304808,-0.09521935650127412,0.10280355766367273,-0.1986455053723176
