case_no,earthquake,site,liquefied,mw,pga,csr75,fc_pct,gc_pct,n120,vs1_ms,dw_m,ds_m,hn_m,dn_m,shallow_groundwater_index,demand_index,dpt_resistance_index,vs_resistance_index,capping_index,dpt_screening_score,vs_screening_score,combined_instrument_score,n120_cs,crr_static_benchmark,fs_static_proxy,g_static_proxy,minus_g_static_proxy,pf_static_proxy
2.0,Wenchuan earthquake,"Songbai village, Deyang, DY-45",1.0,7.9,0.24,0.3023049394214817,5.0,53.0,10.785034273738509,234.26958134040427,0.8,4.6,0.8,0.0,0.8721436582765589,-0.16680161674004332,0.4741514090108209,-0.32770702834069065,0.460093047575911,0.26461807920433417,0.024060547998880674,0.16834169430911827,10.785034273738509,0.14060817696917552,0.46512034251989454,-0.5348796574801055,0.5348796574801055,0.9971127273651792
3.0,Wenchuan earthquake,"Qingliang Village, Deyang, DY-06",1.0,7.9,0.24,0.2829148019802971,5.0,50.0,20.914722945991457,247.30661499764835,1.0,4.0,1.1,0.0,0.7732357579994781,-0.2830548242527167,-0.671312353458358,-0.5728550834224049,0.460093047575911,-0.15111657297253878,-0.12157939196175284,-0.17025087188591226,20.914722945991457,0.2929507564540793,1.0354734160373875,0.03547341603738752,-0.03547341603738752,0.44998320022073063
4.0,Wenchuan earthquake,"Nangui village, Deyang",0.0,7.9,0.24,0.2316544199053896,5.0,40.0,11.43713002382233,260.1034794041863,4.7,11.9,4.1,0.6000000000000005,-1.0565603971265176,-0.5903854892678015,0.40041251381385273,-0.813487001915922,-0.009396478404596153,-0.35733161937188823,-0.7215014740908205,-0.5010317222096777,11.43713002382233,0.14864938658731378,0.6416859503394062,-0.35831404966059377,0.35831404966059377,0.9451857794138534
6.0,Wenchuan earthquake,"Shenghua Village, Deyang",0.0,7.9,0.18,0.1864589564149429,5.0,54.9,14.6078899913711,245.67703147896916,2.0,5.0,0.6,1.4,0.2786962566140738,-0.8613540479860412,0.041863425107529044,-0.5422124356621574,-0.6353825130452714,-0.3510801683909086,-0.5263029266218145,-0.37757359323548895,14.6078899913711,0.1912123276269521,1.0254928553897467,0.02549285538974666,-0.02549285538974666,0.46383475179431943
9.0,Wenchuan earthquake,"Shengli village, Deyang, DY-07",1.0,7.9,0.21,0.2027297125123776,7.5,22.8,12.1443950747153,220.93774838844595,1.9,3.7,2.4,0.0,0.3281502067526143,-0.7638030331610727,0.3204350818836934,-0.07701557468851249,0.460093047575911,-0.15894614662805628,-0.278181343599718,-0.13001246643802084,12.470731066212526,0.16189287572132083,0.7985651127060939,-0.20143488729390613,0.20143488729390613,0.7913602191660695
10.0,Wenchuan earthquake,"Changzheng village, Deyang",1.0,7.9,0.2,0.1969628289040254,5.0,35.0,19.02494618672577,220.67829909656228,1.0,2.0,1.2,0.0,0.7732357579994781,-0.7983782763153185,-0.4576166647818926,-0.07213689668784107,0.460093047575911,-0.31890341979777,-0.2032594893695545,-0.20773130502561704,19.02494618672577,0.26008096805496633,1.3204571111318506,0.3204571111318506,-0.3204571111318506,0.15807179133132065
11.0,Wenchuan earthquake,"Qifu Elementary School, Mianzhu, DY-26",1.0,7.9,0.3,0.2587804522948588,5.0,39.7,12.264285130370876,189.2047935282178,3.5,5.3,2.8,0.7,-0.46311299546403256,-0.4277518678231971,0.3068779313455879,0.5196901154634936,-0.08764473273468017,-0.19742979684630288,-0.13358614161093113,-0.0814043801058432,12.264285130370876,0.1591989027646218,0.6151890583421189,-0.3848109416578811,0.3848109416578811,0.9601072569832805
12.0,Wenchuan earthquake,"Dacheng village, Deyang",0.0,7.9,0.32,0.2722207254439006,5.0,60.9,22.58485743540035,252.6894752393993,4.5,6.8,2.6,1.9,-0.9576524968494368,-0.34717096074288534,-0.8601709253222815,-0.6740742528849833,-1.0266237846956936,-0.6571398985356548,-0.6013108968044655,-0.6712205605061349,22.58485743540035,0.3236989251231581,1.1891046304255999,0.18910463042559988,-0.18910463042559988,0.2661242337689151
14.0,Wenchuan earthquake,"Yangjia railway station, Deyang",0.0,7.9,0.2,0.1533419796563156,5.0,75.4,20.018698534510804,199.70847007376315,6.1,7.4,3.6,2.5,-1.7489156990660835,-1.0599062646988426,-0.5699900397281982,0.32217924419891913,-1.4961133106762003,-1.0725436363799654,-0.8048928512018303,-0.8451181570974775,20.018698534510804,0.2771113690234128,1.8071461555700583,0.8071461555700583,-0.8071461555700583,0.01642543957073439
15.0,Wenchuan earthquake,"Heping village, Deyang",0.0,7.9,0.18,0.1835247262860114,5.0,50.0,23.47846345629664,284.4151935712084,3.7,10.8,2.9,0.8,-0.5620208957411135,-0.8789461700173212,-0.961219767787182,-1.2706438675374467,-0.16589298706476469,-0.80459053534541,-0.8974177652704894,-0.874702715072449,23.47846345629664,0.3408053071099622,1.8569994027880428,0.8569994027880428,-0.8569994027880428,0.012806360672418471
16.0,Wenchuan earthquake,"Min'an village, Deyang",0.0,7.9,0.25,0.2415510822231697,5.0,68.6,16.91103090341379,250.29223517932505,3.7,8.2,0.0,3.7,-0.5620208957411135,-0.531050234858101,-0.2185754235050177,-0.6289966107048831,-2.435092362637214,-0.5387040300177341,-0.6618303861776937,-0.5895407863223989,16.91103090341379,0.22573076450184065,0.9345052914864914,-0.06549470851350858,0.06549470851350858,0.5964889243763186
18.0,Wenchuan earthquake,"Jingxing village, Pixian, CD-01",1.0,7.9,0.21,0.2458258483514446,5.0,65.0,15.563295821556189,241.53254122259085,0.9,3.5,2.1,0.0,0.8226897081380186,-0.5054209542361412,-0.06617373105172338,-0.464279544456365,0.460093047575911,-0.05974895471538129,-0.17918069873677378,-0.09544539507786783,15.563295821556189,0.20516362374088598,0.8345893042442554,-0.16541069575574463,0.16541069575574463,0.7428114979250344
19.0,Wenchuan earthquake,"Qingbaijiang Bridge, Pengzhou",0.0,7.9,0.21,0.1678610817624346,5.0,80.0,35.76326327392398,274.864631180595,3.0,3.7,0.0,3.0,-0.21584324477133043,-0.9728572587204077,-2.3503831937891366,-1.0910553310228925,-1.8873545823266227,-1.2804371026315218,-0.9026387438016484,-1.1663241235851458,35.76326327392398,0.49107142857142855,2.9254632665028177,1.9254632665028177,-1.9254632665028177,5.4201571128842385e-05
20.0,Wenchuan earthquake,"Lingfeng machinery company, Mianyang",0.0,7.9,0.2,0.1700886575785145,5.0,30.0,17.506215896075314,236.07462317463404,4.1,6.1,3.5,0.6,-0.759836696295275,-0.9595018694467397,-0.28587885830126514,-0.36164898988166433,-0.009396478404595718,-0.6699766619206972,-0.692707701394817,-0.6177683871222295,17.506215896075314,0.2351439972354505,1.3824789999703884,0.38247899997038837,-0.38247899997038837,0.12141651408089665
22.0,Wenchuan earthquake,"Jushui valliage, Kaijiang bridge, Mianyang",0.0,7.9,0.295,0.3643350216002027,5.0,65.0,62.12299574231752,423.70973908444495,0.8,4.1,0.5,0.3,0.8721436582765589,0.20509858445370854,-5.331138013395212,-3.8899350202519987,0.22534828458565764,-1.3213508951298,-0.888989997186836,-1.5867339562860499,62.12299574231752,0.49107142857142855,1.347856778671961,0.3478567786719611,-0.3478567786719611,0.14085735720684028
23.0,Wenchuan earthquake,"Xiangliu village, Mianzhu, DY-03",1.0,7.9,0.295,0.2483289090573517,5.0,76.6,19.960076061068413,254.74421734956067,3.4,4.8,3.0,0.4,-0.4136590453254921,-0.49041390044174277,-0.5633610187220042,-0.7127115721743041,0.14710003025557317,-0.4650713683677052,-0.5098765344033952,-0.5022361908861914,19.960076061068413,0.2760910653977875,1.1117959098915227,0.11179590989152266,-0.11179590989152266,0.3511707680561648
24.0,Wenchuan earthquake,"Anren Village, Mianzhu, DY-02",1.0,7.9,0.295,0.2346732208800813,1.0,75.4,28.250391419824,282.6884141761054,4.0,5.0,4.0,0.0,-0.7103827461567347,-0.5722863243075322,-1.5008287070339024,-1.2381735509459528,0.460093047575911,-0.8268493549011117,-0.7480528080747267,-0.8671725619561588,28.250391419824,0.4398791959216658,1.874432857196115,0.8744328571961151,-0.8744328571961151,0.01173396344044697
25.0,Wenchuan earthquake,"Chuanmu village, Mianzhu",0.0,7.9,0.41,0.300623733817234,5.0,70.0,17.97626041896108,227.58429123374637,8.0,9.2,2.0,6.0,-2.6885407516983517,-0.1768812535953731,-0.3390314264732352,-0.20199700024748576,-4.234802212229156,-0.9307542530110167,-0.8896439251432917,-0.919562385053653,17.97626041896108,0.24272111176351555,0.8073917141588005,-0.1926082858411995,0.1926082858411995,0.7797977132241545
