scenario,gradation,year,stationary,nonstationary,max_layer_pf,frechet_lower,frechet_upper,psys_independent_layers,delta
extreme,constant,0,0.37393750000000003,0.3697083333333333,0.7340833333333333,0.7340833333333333,1.0,0.8977860998043178,-0.004229166666666728
extreme,constant,2,0.37393750000000003,0.3549375,0.7475,0.7475,1.0,0.8908652909981554,-0.019000000000000017
extreme,constant,4,0.37393750000000003,0.36554166666666665,0.7399166666666667,0.7399166666666667,1.0,0.8961931717451339,-0.00839583333333338
extreme,constant,6,0.37393750000000003,0.3936458333333333,0.7499166666666667,0.7499166666666667,1.0,0.9160005320075,0.019708333333333272
extreme,constant,8,0.37393750000000003,0.40575,0.7419166666666667,0.7419166666666667,1.0,0.9223288561572627,0.031812499999999966
extreme,constant,10,0.37393750000000003,0.3877708333333333,0.73825,0.73825,1.0,0.9102328856020157,0.013833333333333253
extreme,constant,12,0.37393750000000003,0.3760208333333333,0.7491666666666666,0.7491666666666666,1.0,0.9050569787136766,0.0020833333333332704
extreme,constant,14,0.37393750000000003,0.38797916666666665,0.74925,0.74925,1.0,0.9124501179982396,0.014041666666666619
extreme,constant,16,0.37393750000000003,0.41339583333333335,0.75075,0.75075,1.0,0.9278664651106424,0.03945833333333332
extreme,constant,18,0.37393750000000003,0.4228541666666667,0.7416666666666667,0.7416666666666667,1.0,0.9318541552777778,0.048916666666666664
extreme,constant,20,0.37393750000000003,0.40139583333333334,0.7406666666666667,0.7406666666666667,1.0,0.9200662017662994,0.027458333333333307
extreme,constant,22,0.37393750000000003,0.3905,0.73775,0.73775,1.0,0.912281828005,0.01656249999999998
extreme,constant,24,0.37393750000000003,0.4000208333333333,0.7373333333333333,0.7373333333333333,1.0,0.9178491841512839,0.026083333333333292
extreme,constant,26,0.37393750000000003,0.4265833333333333,0.7460833333333333,0.7460833333333333,1.0,0.9343932604692929,0.05264583333333328
extreme,constant,28,0.37393750000000003,0.4410833333333333,0.755,0.755,1.0,0.94251172461,0.0671458333333333
extreme,constant,30,0.37393750000000003,0.5474583333333333,0.8924166666666666,0.8924166666666666,1.0,0.9881894308783276,0.17352083333333324
extreme,constant,32,0.37393750000000003,0.5172291666666667,0.8435833333333334,0.8435833333333334,1.0,0.9784837957735816,0.1432916666666667
extreme,constant,34,0.37393750000000003,0.538625,0.8718333333333333,0.8718333333333333,1.0,0.9849258475878472,0.1646875
extreme,constant,36,0.37393750000000003,0.5865416666666666,0.9365,0.9365,1.0,0.995099798106875,0.2126041666666666
extreme,constant,38,0.37393750000000003,0.601625,0.9488333333333333,0.9488333333333333,1.0,0.9967188030838638,0.22768749999999993
extreme,constant,40,0.37393750000000003,0.5754375,0.921,0.921,1.0,0.9933096283377778,0.2015
extreme,constant,42,0.37393750000000003,0.5484791666666666,0.89,0.89,1.0,0.9880308063166666,0.1745416666666666
extreme,constant,44,0.37393750000000003,0.5705833333333333,0.9126666666666666,0.9126666666666666,1.0,0.9924460359928642,0.1966458333333333
extreme,constant,46,0.37393750000000003,0.6085208333333334,0.9574166666666667,0.9574166666666667,1.0,0.997485060171768,0.23458333333333337
extreme,constant,48,0.37393750000000003,0.6135833333333334,0.9614166666666667,0.9614166666666667,1.0,0.9978991560039236,0.23964583333333334
extreme,constant,50,0.37393750000000003,0.5999791666666666,0.949,0.949,1.0,0.9967300531314531,0.22604166666666659
extreme,fines_accumulation,0,0.37775,0.3716875,0.742,0.742,1.0,0.90104721492,-0.006062499999999971
extreme,fines_accumulation,2,0.37775,0.3574375,0.7426666666666667,0.7426666666666667,1.0,0.890772506881132,-0.020312499999999956
extreme,fines_accumulation,4,0.37775,0.36564583333333334,0.7313333333333333,0.7313333333333333,1.0,0.8943201527556481,-0.012104166666666638
extreme,fines_accumulation,6,0.37775,0.38329166666666664,0.728,0.728,1.0,0.9056804042893889,0.005541666666666667
extreme,fines_accumulation,8,0.37775,0.3940625,0.7280833333333333,0.7280833333333333,1.0,0.9126862080845467,0.016312500000000008
extreme,fines_accumulation,10,0.37775,0.37377083333333333,0.7215833333333334,0.7215833333333334,1.0,0.8979441050910675,-0.003979166666666645
extreme,fines_accumulation,12,0.37775,0.35641666666666666,0.7231666666666666,0.7231666666666666,1.0,0.8858545233469421,-0.021333333333333315
extreme,fines_accumulation,14,0.37775,0.3584583333333333,0.7098333333333333,0.7098333333333333,1.0,0.8838406181247068,-0.01929166666666665
extreme,fines_accumulation,16,0.37775,0.38514583333333335,0.7093333333333334,0.7093333333333334,1.0,0.9034506851573334,0.007395833333333379
extreme,fines_accumulation,18,0.37775,0.39322916666666663,0.7045833333333333,0.7045833333333333,1.0,0.9080801815479345,0.015479166666666655
extreme,fines_accumulation,20,0.37775,0.375,0.7069166666666666,0.7069166666666666,1.0,0.8959024730566867,-0.0027499999999999747
extreme,fines_accumulation,22,0.37775,0.35758333333333336,0.6994166666666667,0.6994166666666667,1.0,0.881238725473382,-0.02016666666666661
extreme,fines_accumulation,24,0.37775,0.3635,0.6935833333333333,0.6935833333333333,1.0,0.8849232181229039,-0.014249999999999985
extreme,fines_accumulation,26,0.37775,0.38979166666666665,0.6906666666666667,0.6906666666666667,1.0,0.9035106938440247,0.012041666666666673
extreme,fines_accumulation,28,0.37775,0.40141666666666664,0.6965833333333333,0.6965833333333333,1.0,0.9131191825821776,0.02366666666666667
extreme,fines_accumulation,30,0.37775,0.51275,0.8455833333333334,0.8455833333333334,1.0,0.9775376115837191,0.13500000000000006
extreme,fines_accumulation,32,0.37775,0.4786875,0.7979166666666667,0.7979166666666667,1.0,0.9631702584623554,0.10093750000000001
extreme,fines_accumulation,34,0.37775,0.49595833333333333,0.823,0.823,1.0,0.9706529708610416,0.11820833333333336
extreme,fines_accumulation,36,0.37775,0.5472916666666666,0.90025,0.90025,1.0,0.9885698820745937,0.16954166666666665
extreme,fines_accumulation,38,0.37775,0.5600625,0.9199166666666667,0.9199166666666667,1.0,0.9918189541361946,0.18231250000000004
extreme,fines_accumulation,40,0.37775,0.5314583333333334,0.874,0.874,1.0,0.983878508621875,0.1537083333333334
extreme,fines_accumulation,42,0.37775,0.49814583333333334,0.8293333333333334,0.8293333333333334,1.0,0.9719268981530864,0.12039583333333337
extreme,fines_accumulation,44,0.37775,0.5172708333333333,0.8579166666666667,0.8579166666666667,1.0,0.9795691514195443,0.13952083333333337
extreme,fines_accumulation,46,0.37775,0.5630833333333334,0.9233333333333333,0.9233333333333333,1.0,0.9923108969802777,0.1853333333333334
extreme,fines_accumulation,48,0.37775,0.5657708333333333,0.9285833333333333,0.9285833333333333,1.0,0.9931279516315231,0.18802083333333336
extreme,fines_accumulation,50,0.37775,0.5491458333333333,0.9063333333333333,0.9063333333333333,1.0,0.9892252800016436,0.17139583333333336
extreme,fines_washout,0,0.37414583333333334,0.37162500000000004,0.7394166666666667,0.7394166666666667,1.0,0.8999125998813217,-0.0025208333333333055
extreme,fines_washout,2,0.37414583333333334,0.36002083333333335,0.7456666666666667,0.7456666666666667,1.0,0.8940574836991667,-0.014124999999999999
extreme,fines_washout,4,0.37414583333333334,0.37402083333333336,0.7425833333333334,0.7425833333333334,1.0,0.90218341501564,-0.00012499999999998623
extreme,fines_washout,6,0.37414583333333334,0.3973541666666667,0.7450833333333333,0.7450833333333333,1.0,0.91763503836958,0.02320833333333333
extreme,fines_washout,8,0.37414583333333334,0.41420833333333335,0.75375,0.75375,1.0,0.9288533644127344,0.0400625
extreme,fines_washout,10,0.37414583333333334,0.4008541666666667,0.7493333333333333,0.7493333333333333,1.0,0.9206839251277777,0.026708333333333334
extreme,fines_washout,12,0.37414583333333334,0.38708333333333333,0.7581666666666667,0.7581666666666667,1.0,0.9140139413338073,0.01293749999999999
extreme,fines_washout,14,0.37414583333333334,0.4008541666666667,0.7613333333333333,0.7613333333333333,1.0,0.923074831624,0.026708333333333334
extreme,fines_washout,16,0.37414583333333334,0.4313125,0.7654166666666666,0.7654166666666666,1.0,0.9396300621342303,0.05716666666666664
extreme,fines_washout,18,0.37414583333333334,0.44245833333333334,0.7668333333333334,0.7668333333333334,1.0,0.9451781944415938,0.0683125
extreme,fines_washout,20,0.37414583333333334,0.426,0.7680833333333333,0.7680833333333333,1.0,0.9373648349933951,0.051854166666666646
extreme,fines_washout,22,0.37414583333333334,0.41575,0.7708333333333334,0.7708333333333334,1.0,0.9322603973181424,0.041604166666666664
extreme,fines_washout,24,0.37414583333333334,0.43116666666666664,0.769,0.769,1.0,0.9394252515109375,0.0570208333333333
extreme,fines_washout,26,0.37414583333333334,0.45660416666666664,0.7764166666666666,0.7764166666666666,1.0,0.9528742454271609,0.0824583333333333
extreme,fines_washout,28,0.37414583333333334,0.4764583333333333,0.78875,0.78875,1.0,0.9619045466090856,0.10231249999999997
extreme,fines_washout,30,0.37414583333333334,0.5773541666666666,0.9076666666666666,0.9076666666666666,1.0,0.9927380293885909,0.20320833333333327
extreme,fines_washout,32,0.37414583333333334,0.5538333333333333,0.8696666666666667,0.8696666666666667,1.0,0.9876178018103168,0.17968749999999994
extreme,fines_washout,34,0.37414583333333334,0.575125,0.9006666666666666,0.9006666666666666,1.0,0.9921039971688187,0.20097916666666665
extreme,fines_washout,36,0.37414583333333334,0.613125,0.9445,0.9445,1.0,0.9970742053533854,0.2389791666666667
extreme,fines_washout,38,0.37414583333333334,0.63,0.9631666666666666,0.9631666666666666,1.0,0.9984070625011121,0.25585416666666666
extreme,fines_washout,40,0.37414583333333334,0.6074375,0.9395833333333333,0.9395833333333333,1.0,0.9966835249016928,0.23329166666666662
extreme,fines_washout,42,0.37414583333333334,0.5895416666666666,0.913,0.913,1.0,0.9941286434210626,0.2153958333333333
extreme,fines_washout,44,0.37414583333333334,0.607,0.935,0.935,1.0,0.9963353055575,0.23285416666666664
extreme,fines_washout,46,0.37414583333333334,0.6411041666666667,0.96725,0.96725,1.0,0.9988122752351887,0.26695833333333335
extreme,fines_washout,48,0.37414583333333334,0.6475833333333333,0.97075,0.97075,1.0,0.9990607232329493,0.27343749999999994
extreme,fines_washout,50,0.37414583333333334,0.6356666666666666,0.9635833333333333,0.9635833333333333,1.0,0.9986509225064878,0.26152083333333326
rising,constant,0,0.3724791666666667,0.37477083333333333,0.7464166666666666,0.7464166666666666,1.0,0.9037659194897908,0.0022916666666666363
rising,constant,2,0.3724791666666667,0.379,0.7414166666666666,0.7414166666666666,1.0,0.9056644173788264,0.006520833333333309
rising,constant,4,0.3724791666666667,0.38306250000000003,0.7488333333333334,0.7488333333333334,1.0,0.9099498317711459,0.010583333333333333
rising,constant,6,0.3724791666666667,0.3829166666666667,0.7451666666666666,0.7451666666666666,1.0,0.9086972683220024,0.010437499999999988
