site_id,borehole_id,layer_id,date,fc_pct,d50_mm,pi,gravel_pct,data_source,test_method,uncertainty_sd
Capitol_Lake_01,Capitol_Lake_01,L1,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_01,Capitol_Lake_01,L2,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_01,Capitol_Lake_01,L3,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_01,Capitol_Lake_01,L4,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_01,SODO_01,L1,1995-01-17,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_01,SODO_01,L2,1995-01-17,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_01,SODO_01,L3,1995-01-17,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_01,SODO_01,L4,1995-01-17,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_02,Capitol_Lake_02,L1,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_02,Capitol_Lake_02,L2,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_02,Capitol_Lake_02,L3,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_01,Harbor_Island_01,L1,1999-03-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_01,Harbor_Island_01,L2,1999-03-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_01,Harbor_Island_01,L3,1999-03-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_02,Harbor_Island_02,L1,1997-07-19,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_02,Harbor_Island_02,L2,1997-07-19,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_02,Harbor_Island_02,L3,1997-07-19,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_02,Harbor_Island_02,L4,1997-07-19,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_02,SODO_02,L1,1992-02-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
