site_id,borehole_id,layer_id,z_top_m,z_bot_m,z_mid_m,soil_type,gamma_total_kN_m3,gamma_sat_kN_m3,n60,n160,qc,fs_cpt,ic,vs1,fc_pct,d50_mm,pi,gravel_pct,measurement_date,data_source
Capitol_Lake_01,Capitol_Lake_01,L1,0,2,1.0,CPT-derived mixed soil,18.0,19.0,,,1.0236103,0.005262093,1.0944409172648235,,,,,,1995-12-18,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Capitol_Lake_01,Capitol_Lake_01,L2,2,5,3.5,CPT-derived mixed soil,18.0,19.0,,,1.087362275,0.01164805,1.2531430634073906,,,,,,1995-12-18,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Capitol_Lake_01,Capitol_Lake_01,L3,5,10,7.5,CPT-derived mixed soil,18.0,19.0,,,0.685363205,0.00070084,0.6938247815449221,,,,,,1995-12-18,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Capitol_Lake_01,Capitol_Lake_01,L4,10,20,15.0,CPT-derived mixed soil,18.0,19.0,,,0.80515248,0.00630323,1.218902496382705,,,,,,1995-12-18,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
SODO_01,SODO_01,L1,0,2,1.0,CPT-derived mixed soil,18.0,19.0,,,5.097036005,0.052364145,1.2349552757513995,,,,,,1995-01-17,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
SODO_01,SODO_01,L2,2,5,3.5,CPT-derived mixed soil,18.0,19.0,,,0.76778934,0.00927801,1.5468581764513294,,,,,,1995-01-17,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
SODO_01,SODO_01,L3,5,10,7.5,CPT-derived mixed soil,18.0,19.0,,,5.652390505,0.039676745,1.2240968966909882,,,,,,1995-01-17,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
SODO_01,SODO_01,L4,10,20,15.0,CPT-derived mixed soil,18.0,19.0,,,13.720779414999999,0.11545519,1.3263730034303056,,,,,,1995-01-17,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Capitol_Lake_02,Capitol_Lake_02,L1,0,2,1.0,CPT-derived mixed soil,18.0,19.0,,,6.010613941000001,0.015883037000000003,0.7124701665778187,,,,,,1995-12-18,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Capitol_Lake_02,Capitol_Lake_02,L2,2,5,3.5,CPT-derived mixed soil,18.0,19.0,,,8.948643045,0.055500350000000004,1.3346974111005847,,,,,,1995-12-18,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Capitol_Lake_02,Capitol_Lake_02,L3,5,10,7.5,CPT-derived mixed soil,18.0,19.0,,,18.00067288,0.21001075,1.5832445365199757,,,,,,1995-12-18,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Harbor_Island_01,Harbor_Island_01,L1,0,2,1.0,CPT-derived mixed soil,18.0,19.0,,,3.5666041370000006,0.025592497999999998,1.0789975946416135,,,,,,1999-03-09,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Harbor_Island_01,Harbor_Island_01,L2,2,5,3.5,CPT-derived mixed soil,18.0,19.0,,,3.5666041370000006,0.025592497999999998,1.0789975946416135,,,,,,1999-03-09,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Harbor_Island_01,Harbor_Island_01,L3,5,10,7.5,CPT-derived mixed soil,18.0,19.0,,,24.11992151,0.16190747,1.4114645103011558,,,,,,1999-03-09,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Harbor_Island_02,Harbor_Island_02,L1,0,2,1.0,CPT-derived mixed soil,18.0,19.0,,,6.939711615,0.050365265,1.103080063873682,,,,,,1997-07-19,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Harbor_Island_02,Harbor_Island_02,L2,2,5,3.5,CPT-derived mixed soil,18.0,19.0,,,4.971154245,0.023702615,0.9363637862432119,,,,,,1997-07-19,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Harbor_Island_02,Harbor_Island_02,L3,5,10,7.5,CPT-derived mixed soil,18.0,19.0,,,6.124092185,0.037811835,1.0899509416711979,,,,,,1997-07-19,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
Harbor_Island_02,Harbor_Island_02,L4,10,20,15.0,CPT-derived mixed soil,18.0,19.0,,,5.697386585,0.052474735,1.2389291703889356,,,,,,1997-07-19,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
SODO_02,SODO_02,L1,0,2,1.0,CPT-derived mixed soil,18.0,19.0,,,11.762442787999998,0.11047879399999999,1.335411826489354,,,,,,1992-02-24,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
SODO_02,SODO_02,L2,2,5,3.5,CPT-derived mixed soil,18.0,19.0,,,4.745662995,0.055560245,1.2961529374123586,,,,,,1992-02-24,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
SODO_02,SODO_02,L3,5,10,7.5,CPT-derived mixed soil,18.0,19.0,,,6.503001275,0.07366221,1.318418654953634,,,,,,1992-02-24,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
SODO_02,SODO_02,L4,10,20,15.0,CPT-derived mixed soil,18.0,19.0,,,15.042911375,0.09969127,1.2967544943362808,,,,,,1992-02-24,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX
