model_type,nugget,sill,theta_z_m,n_pairs,rmse,site_id,variable,transform,aic,bootstrap_ci_low,bootstrap_ci_high
exponential,0.0,2.184631264224531,1.4117647058823528,20706,1.0172571178065875,Blair_Waterway_01,log_qc_mpa,log,,,
exponential,0.0,0.7546354652605843,0.5819327731092436,27028,0.1748629481174327,Boeing_Field_01,log_qc_mpa,log,,,
exponential,0.0,0.46835447811329406,0.5819327731092436,20100,0.16857697839938912,Bush_School_01,log_qc_mpa,log,,,
exponential,0.0,0.6525432637546456,1.0798319327731092,24976,0.18941001229996318,Capitol_Lake_01,log_qc_mpa,log,,,
exponential,0.0,0.6180010984809045,0.4159663865546218,26565,0.23124872963815746,Capitol_Lake_02,log_qc_mpa,log,,,
exponential,0.0,1.1217937347466014,0.9138655462184874,20706,0.3792402899306708,Discovery_Park_01,log_qc_mpa,log,,,
exponential,0.0,1.0050226215309324,1.5777310924369747,20706,0.4253064161165326,Duwamish_01,log_qc_mpa,log,,,
exponential,0.0,0.614713784242625,0.7478991596638656,21321,0.12231519965203959,Elliott_Ave_01,log_qc_mpa,log,,,
exponential,0.0,1.2632843536023555,0.7478991596638656,23220,0.35820737439831996,Emerald_Downs_01,log_qc_mpa,log,,,
exponential,0.0,1.4099970655804441,0.7478991596638656,26335,0.6067805117762047,Factoria_01,log_qc_mpa,log,,,
exponential,0.0,1.106934344091968,1.4117647058823528,23653,0.39636987437832083,Green_River_01,log_qc_mpa,log,,,
exponential,0.0,0.914307169466615,1.0798319327731092,32385,0.5127581939646033,Harbor_Island_01,log_qc_mpa,log,,,
exponential,0.0,0.5192510631009549,1.4117647058823528,20706,0.13247875071509496,Harbor_Island_02,log_qc_mpa,log,,,
exponential,0.0,0.9006671167506475,0.5819327731092436,22366,0.19464228643965917,Issaquah_01,log_qc_mpa,log,,,
exponential,0.0,1.4547261746504285,0.9138655462184874,20706,0.4754546235485127,SODO_01,log_qc_mpa,log,,,
exponential,0.0,0.29766674659908304,1.245798319327731,23871,0.11953959399327431,SODO_02,log_qc_mpa,log,,,
exponential,0.0,0.4419987132632814,0.7478991596638656,29890,0.21647858093100658,SODO_03,log_qc_mpa,log,,,
exponential,0.0,0.7136521876414178,0.5819327731092436,22366,0.3238102123936226,SODO_04,log_qc_mpa,log,,,
exponential,0.0,1.581025396876157,0.9138655462184874,20301,0.7964259521974962,Smith_Cove_01,log_qc_mpa,log,,,
exponential,0.0,1.4016330094350258,0.7478991596638656,22366,0.3947214184085562,Smith_Cove_02,log_qc_mpa,log,,,
exponential,0.0,0.9530639131354308,0.5819327731092436,21528,0.16723819563819112,UW_01,log_qc_mpa,log,,,
exponential,0.0,0.6443239050863035,0.5819327731092436,21321,0.13649986128061828,UW_02,log_qc_mpa,log,,,
exponential,0.0,1.0072809725902518,0.9138655462184874,21528,0.277445844273372,UW_03,log_qc_mpa,log,,,
exponential,0.0,1.68019760974741,1.0798319327731092,21528,0.6772635434385604,UW_04,log_qc_mpa,log,,,
