scenario,gradation,year,layer,z_mid_m,gw_depth_m,fc_pct,pga_g,n160,n1_60cs,csr,pf_nonstationary,fs_deterministic_nonstationary,crr_benchmark_module,crr_bi14_spt_style,fs_bi14_spt_style,delta_fs_bi14_minus_benchmark,pf_bi14_spt_style_diagnostic,delta_pf_bi14_minus_benchmark,method_status
stationary,constant,0,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7445833333333334,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22133320025868874,direct_spt_model_form_check_not_site_validation
stationary,constant,2,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7408333333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22508320025868878,direct_spt_model_form_check_not_site_validation
stationary,constant,4,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7434166666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2224998669253555,direct_spt_model_form_check_not_site_validation
stationary,constant,6,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7464166666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2194998669253555,direct_spt_model_form_check_not_site_validation
stationary,constant,8,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7333333333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.23258320025868884,direct_spt_model_form_check_not_site_validation
stationary,constant,10,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7461666666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.21974986692535547,direct_spt_model_form_check_not_site_validation
stationary,constant,12,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7379166666666667,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22799986692535545,direct_spt_model_form_check_not_site_validation
stationary,constant,14,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7334166666666667,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2324998669253554,direct_spt_model_form_check_not_site_validation
stationary,constant,16,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7439166666666667,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22199986692535545,direct_spt_model_form_check_not_site_validation
stationary,constant,18,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7418333333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22408320025868878,direct_spt_model_form_check_not_site_validation
stationary,constant,20,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7414166666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2244998669253555,direct_spt_model_form_check_not_site_validation
stationary,constant,22,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7425,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22341653359202207,direct_spt_model_form_check_not_site_validation
stationary,constant,24,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7461666666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.21974986692535547,direct_spt_model_form_check_not_site_validation
stationary,constant,26,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7393333333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22658320025868883,direct_spt_model_form_check_not_site_validation
stationary,constant,28,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7391666666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22674986692535548,direct_spt_model_form_check_not_site_validation
stationary,constant,30,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.74,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22591653359202213,direct_spt_model_form_check_not_site_validation
stationary,constant,32,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.742,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22391653359202213,direct_spt_model_form_check_not_site_validation
stationary,constant,34,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7385833333333334,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22733320025868875,direct_spt_model_form_check_not_site_validation
stationary,constant,36,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7415833333333334,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22433320025868875,direct_spt_model_form_check_not_site_validation
stationary,constant,38,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7430833333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2228332002586888,direct_spt_model_form_check_not_site_validation
stationary,constant,40,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7438333333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22208320025868877,direct_spt_model_form_check_not_site_validation
