scenario,gradation,n_records,spearman_pf_current_vs_bi14_style,spearman_pf_current_vs_bi14_liquepy,median_abs_delta_pf_style,median_abs_delta_pf_liquepy,median_abs_delta_pf_liquepy_median,max_abs_delta_pf_style,max_abs_delta_pf_liquepy,max_abs_delta_pf_liquepy_median,median_fs_scale_ratio_liquepy_to_benchmark,median_fs_scale_ratio_liquepy_median_to_benchmark,same_highest_layer_share,liquepy_bi14_available,bi16_exact_liquepy_available,interpretation
stationary,constant,104,0.9683267587956376,0.9683267587956376,0.31556645581719145,0.31556645581719145,0.1335611162930671,0.4303850586561534,0.4303850586561534,0.23742017841467644,0.7454680904778295,0.9105167818300155,1.0,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
stationary,fines_accumulation,104,0.9962925226457913,0.9962925226457913,0.32607010372524814,0.32607010372524814,0.12998658346386294,0.4613155445337202,0.4613155445337202,0.24003505120725777,0.7259732713755629,0.8867057560086737,1.0,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
stationary,fines_washout,104,0.9966360964040498,0.9966360964040498,0.28520715541703173,0.28520715541703173,0.13595899750442228,0.47108552914452606,0.47108552914452606,0.23201119438317624,0.7569182223151065,0.9245020044373633,1.0,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
rising,constant,104,0.9662207429675874,0.9662207429675874,0.22769502847547424,0.22769502847547424,0.13714444962640046,0.47486853779048377,0.47486853779048377,0.24273947168052695,0.7454680904778295,0.9105167818300155,0.6538461538461539,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
rising,fines_accumulation,104,0.9310146164515098,0.9310146164515098,0.2866038082046281,0.2866038082046281,0.14236440499814268,0.4443754182071334,0.4443754182071334,0.24925584326048467,0.7259732713755629,0.8867057560086737,0.5769230769230769,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
rising,fines_washout,104,0.9766456844126749,0.9766456844126749,0.21121925116743667,0.21121925116743667,0.1304088590571733,0.4816790714858657,0.4816790714858657,0.2769071963095069,0.7569182223151065,0.9245020044373633,0.46153846153846156,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
seasonal,constant,104,0.991430895492527,0.991430895492527,0.28139275356074545,0.28139275356074545,0.12825096520359602,0.46184543823714796,0.46184543823714796,0.23777780281989047,0.7454680904778295,0.9105167818300155,1.0,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
seasonal,fines_accumulation,104,0.984796756641417,0.984796756641417,0.3332520894732095,0.3332520894732095,0.13062397225546127,0.45961411594721524,0.45961411594721524,0.2574741162907256,0.7259732713755629,0.8867057560086737,0.9615384615384616,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
seasonal,fines_washout,104,0.9839221368071437,0.9839221368071437,0.23815422611286918,0.23815422611286918,0.12577310224100074,0.4808933971992973,0.4808933971992973,0.24444923483880565,0.7569182223151065,0.9245020044373633,0.8846153846153846,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
extreme,constant,104,0.9953932333196407,0.9953932333196407,0.21758320025868877,0.21758320025868877,0.1258342985369294,0.46764229649777384,0.46764229649777384,0.26868318490860127,0.7454680904778294,0.9105167818300155,0.9615384615384616,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
extreme,fines_accumulation,104,0.9902192206885236,0.9902192206885236,0.24501291253198676,0.24501291253198676,0.130612957311539,0.45322357743371333,0.45322357743371333,0.24905764475187975,0.7259732713755629,0.8867057560086737,0.9615384615384616,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
extreme,fines_washout,104,0.9937053238024113,0.9937053238024113,0.20223097889164648,0.20223097889164648,0.12107893754266526,0.4771245336773704,0.4771245336773704,0.28782670497055307,0.7569182223151065,0.9245020044373633,0.8846153846153846,True,False,standard BI14 SPT resistance module ranking and scale check; not site validation
