scenario,gradation,year,rho_equicorrelation,psys_gaussian_copula,psys_independent,frechet_lower,frechet_upper,n_sim,status
extreme,constant,0,0.0,0.8967,0.8977860998043178,0.7340833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,0,0.3,0.8396,0.8977860998043178,0.7340833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,0,0.6,0.787,0.8977860998043178,0.7340833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,0,0.9,0.7424,0.8977860998043178,0.7340833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,2,0.0,0.89046,0.8908652909981554,0.7475,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,2,0.3,0.8358,0.8908652909981554,0.7475,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,2,0.6,0.78836,0.8908652909981554,0.7475,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,2,0.9,0.74924,0.8908652909981554,0.7475,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,4,0.0,0.89652,0.8961931717451339,0.7399166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,4,0.3,0.84056,0.8961931717451339,0.7399166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,4,0.6,0.79228,0.8961931717451339,0.7399166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,4,0.9,0.74396,0.8961931717451339,0.7399166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,6,0.0,0.91484,0.9160005320075,0.7499166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,6,0.3,0.85998,0.9160005320075,0.7499166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,6,0.6,0.8109,0.9160005320075,0.7499166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,6,0.9,0.75852,0.9160005320075,0.7499166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,8,0.0,0.92182,0.9223288561572627,0.7419166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,8,0.3,0.86574,0.9223288561572627,0.7419166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,8,0.6,0.81168,0.9223288561572627,0.7419166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,8,0.9,0.75358,0.9223288561572627,0.7419166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,10,0.0,0.9095,0.9102328856020157,0.73825,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,10,0.3,0.85264,0.9102328856020157,0.73825,1.0,50000,vertical-dependence diagnostic; not calibrated random field
