domain,source_file,validation_protocol,threshold,site_id,site_name,site_family,region,event_name,observed_liquefaction,conservative_max_pf,conservative_selected_model,error_type,protocol,heldout_group
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.5,Duwamish_01,Duwamish_01,Duwamish,,,0,0.912100823766244,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.5,Green_River_01,Green_River_01,Green River,,,0,0.6874065390132288,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.45,Duwamish_01,Duwamish_01,Duwamish,,,0,0.912100823766244,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.45,Green_River_01,Green_River_01,Green River,,,0,0.6874065390132288,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.43,Duwamish_01,Duwamish_01,Duwamish,,,0,0.912100823766244,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.43,Green_River_01,Green_River_01,Green River,,,0,0.6874065390132288,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.425,Duwamish_01,Duwamish_01,Duwamish,,,0,0.912100823766244,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.425,Green_River_01,Green_River_01,Green River,,,0,0.6874065390132288,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.42,Duwamish_01,Duwamish_01,Duwamish,,,0,0.912100823766244,M1_nonstationary_groundwater_only,false_positive,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.42,Green_River_01,Green_River_01,Green River,,,0,0.6874065390132288,M1_nonstationary_groundwater_only,false_positive,,
