domain,source_file,validation_protocol,threshold,n_test,tp,fp,tn,fn,sensitivity,specificity,false_negative_rate,false_positive_rate,balanced_accuracy,protocol,heldout_group
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.5,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.45,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.43,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.425,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.42,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.4,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,exhaustive paired-family spatial holdout,0.375,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,leave-one-site-family-out spatial validation,0.5,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,leave-one-site-family-out spatial validation,0.45,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,leave-one-site-family-out spatial validation,0.43,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,leave-one-site-family-out spatial validation,0.425,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,leave-one-site-family-out spatial validation,0.42,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,leave-one-site-family-out spatial validation,0.4,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,leave-one-site-family-out spatial validation,0.375,24,9,2,13,0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.9333333333333333,,
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,8,4,0,4,0,1.0,1.0,0.0,0.0,1.0,fixed_family_holdout_SODO_UW,SODO_UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,8,4,0,4,0,1.0,1.0,0.0,0.0,1.0,fixed_family_holdout_SODO_UW,SODO_UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,8,4,0,4,0,1.0,1.0,0.0,0.0,1.0,fixed_family_holdout_SODO_UW,SODO_UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,8,4,0,4,0,1.0,1.0,0.0,0.0,1.0,fixed_family_holdout_SODO_UW,SODO_UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,8,4,0,4,0,1.0,1.0,0.0,0.0,1.0,fixed_family_holdout_SODO_UW,SODO_UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,8,4,0,4,0,1.0,1.0,0.0,0.0,1.0,fixed_family_holdout_SODO_UW,SODO_UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,8,4,0,4,0,1.0,1.0,0.0,0.0,1.0,fixed_family_holdout_SODO_UW,SODO_UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,1,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Boeing Field
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,1,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Boeing Field
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,1,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Boeing Field
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,1,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Boeing Field
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,1,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Boeing Field
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,1,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Boeing Field
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,1,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Boeing Field
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Bush School
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Bush School
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Bush School
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Bush School
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Bush School
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Bush School
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Bush School
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Capitol Lake
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Capitol Lake
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Capitol Lake
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Capitol Lake
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Capitol Lake
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Capitol Lake
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Capitol Lake
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Discovery Park
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Discovery Park
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Discovery Park
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Discovery Park
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Discovery Park
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Discovery Park
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Discovery Park
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
