site_id,event_key,pga_g,wtd_event_site_adjusted_m,manifestation_code,observed_liquefaction,severe_manifestation,critical_layer_depth_m,critical_layer_qc_mpa,critical_layer_saturated,critical_crossing_margin_m
Canterbury_00000,Yr2010,0.225,1.40755057334899,0,0,0,3.319900609971076,0.57824,1,1.912350036622086
Canterbury_00000,Yr2011,0.537,1.28991222381591,1,1,0,3.319900609971076,0.57824,1,2.029988386155166
Canterbury_00000,Yr2016,0.146294832,1.29435420036315,0,0,0,3.319900609971076,0.57824,1,2.0255464096079256
Canterbury_00001,Yr2010,0.209,0.97808176279068,0,0,0,4.271219063424467,0.3354,1,3.293137300633787
Canterbury_00001,Yr2011,0.277,0.93882691860199,1,1,0,4.271219063424467,0.3354,1,3.332392144822477
Canterbury_00001,Yr2016,0.11085397,0.6731669688463213,0,0,0,4.271219063424467,0.3354,1,3.5980520945781453
Canterbury_00002,Yr2010,0.206,1.08423256874084,1,1,0,2.039722896539242,0.47552,1,0.9554903277984022
Canterbury_00002,Yr2011,0.414,0.969649195671082,1,1,0,2.039722896539242,0.47552,1,1.0700737008681602
Canterbury_00002,Yr2016,0.155126989,0.668489158153534,0,0,0,2.039722896539242,0.47552,1,1.3712337383857083
Canterbury_00003,Yr2010,0.21,2.4381775856018,0,0,0,2.3794053725745212,1.4700199999999999,0,-0.05877221302727875
Canterbury_00003,Yr2011,0.54,2.48186492919921,1,1,0,2.3794053725745212,1.4700199999999999,0,-0.10245955662468864
Canterbury_00003,Yr2016,0.183587551,2.45137953758239,0,0,0,2.3794053725745212,1.4700199999999999,0,-0.07197416500786868
Canterbury_00004,Yr2010,0.212,4.0486135482788,0,0,0,4.953606291200282,0.7581400000000001,1,0.9049927429214826
Canterbury_00004,Yr2011,0.444,3.96444129943847,0,0,0,4.953606291200282,0.7581400000000001,1,0.9891649917618124
Canterbury_00004,Yr2016,0.134359807,3.4975688457489,0,0,0,4.953606291200282,0.7581400000000001,1,1.4560374454513823
Canterbury_00005,Yr2010,0.212,4.09106683731079,0,0,0,4.996633035917578,0.91206,1,0.9055661986067882
Canterbury_00005,Yr2011,0.444,4.00533962249755,0,0,0,4.996633035917578,0.91206,1,0.9912934134200286
Canterbury_00005,Yr2016,0.134487942,3.66757011413574,0,0,0,4.996633035917578,0.91206,1,1.3290629217818384
Canterbury_00006,Yr2010,0.202,1.11886465549469,1,1,0,1.7599130030315053,0.22147999999999998,1,0.6410483475368154
Canterbury_00006,Yr2011,0.356,1.0322368144989,1,1,0,1.7599130030315053,0.22147999999999998,1,0.7276761885326053
Canterbury_00006,Yr2016,0.147391826,0.514968752861023,0,0,0,1.7599130030315053,0.22147999999999998,1,1.2449442501704824
