target,features,n_predictions,n_positive,auc,brier_score,log_loss,model_name
observed_liquefaction,pga_g,15875,6185,0.8157003152705579,0.13791539766611977,0.46980238435709065,pga_only
observed_liquefaction,pga_g+wtd_event_site_adjusted_m,15875,6185,0.8247434411793906,0.13963045411611544,0.4734876389593821,pga_plus_wtd
observed_liquefaction,pga_g+critical_layer_saturated,15875,6185,0.8167506192367598,0.13809130982284354,0.4712461389250919,pga_plus_critical_saturated
observed_liquefaction,pga_g+critical_crossing_margin_m,15875,6185,0.813282392819273,0.1383661867092558,0.47189151005212876,pga_plus_crossing_margin
observed_liquefaction,pga_g+wtd_event_site_adjusted_m+critical_layer_depth_m+critical_layer_qc_mpa+critical_layer_saturated+critical_crossing_margin_m,15875,6185,0.8283787718380549,0.13928540894000865,0.4715093228542279,critical_layer_bundle
severe_manifestation,pga_g,11090,1547,0.6727269438958327,0.12144653610938806,0.4034538380277944,pga_only
severe_manifestation,pga_g+wtd_event_site_adjusted_m,11090,1547,0.6610785150275137,0.12300706480112379,0.40721024262743877,pga_plus_wtd
severe_manifestation,pga_g+critical_layer_saturated,11090,1547,0.6713656032867528,0.12149039575466401,0.403943328286779,pga_plus_critical_saturated
severe_manifestation,pga_g+critical_crossing_margin_m,11090,1547,0.6698523967418322,0.12103828345295571,0.4026263275790416,pga_plus_crossing_margin
severe_manifestation,pga_g+wtd_event_site_adjusted_m+critical_layer_depth_m+critical_layer_qc_mpa+critical_layer_saturated+critical_crossing_margin_m,11090,1547,0.6778972948693901,0.12074660643540824,0.4053762255082806,critical_layer_bundle
