heldout_event_key,heldout_event_name,model_name,n_train,n_test,n_liq_test,n_nonliq_test,auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity,specificity,tp,fp,tn,fn
Yr2010,2010 Darfield earthquake,M0_static_stationary,10402,5488,1313,4175,0.4648117626133871,0.19086516764756528,0.5828347438302904,-1.1596866141044055,-0.10510925223244467,0.002284843869002285,0.9997604790419161,3,1,4174,1310
Yr2010,2010 Darfield earthquake,M1_nonstationary_groundwater_only,10402,5488,1313,4175,0.5662253558382093,0.19113353075777492,0.5876533295878753,-1.17051760029523,0.23126720363509107,0.007616146230007616,0.9954491017964072,10,19,4156,1303
Yr2010,2010 Darfield earthquake,M2_nonstationary_groundwater_gradation,10402,5488,1313,4175,0.6098783696886502,0.18818086489996172,0.5779371574977038,-1.1911746102738126,0.37052490158698265,0.01827875095201828,0.9949700598802396,24,21,4154,1289
Yr2010,2010 Darfield earthquake,M3_full_nonstationary_random_field,10402,5488,1313,4175,0.6083228516310867,0.1883153044746712,0.5783572687578018,-1.1903991634153286,0.36619225154248536,0.01904036557501904,0.9952095808383233,25,20,4155,1288
Yr2011,2011 Christchurch earthquake,M0_static_stationary,10278,5612,4722,890,0.6376853028377806,0.14598858586767827,0.5207671677031862,1.757535953721475,0.5174760431660586,0.9305379076662431,0.298876404494382,4394,624,266,328
Yr2011,2011 Christchurch earthquake,M1_nonstationary_groundwater_only,10278,5612,4722,890,0.6552884180669969,0.1419599818187561,0.5064178905495785,1.7793308437424806,0.5827856474959118,0.9294790343074968,0.3101123595505618,4389,614,276,333
Yr2011,2011 Christchurch earthquake,M2_nonstationary_groundwater_gradation,10278,5612,4722,890,0.6677148323172908,0.1405093140324829,0.5002316912853174,1.8038683141982994,0.648300540303922,0.9212198221092758,0.33146067415730335,4350,595,295,372
Yr2011,2011 Christchurch earthquake,M3_full_nonstationary_random_field,10278,5612,4722,890,0.6637213330858663,0.14118936347691693,0.5014970210609341,1.7979122633500688,0.63323160940776,0.920584498094028,0.32696629213483147,4347,599,291,375
Yr2016,2016 Valentine earthquake,M0_static_stationary,11100,4790,154,4636,0.9000607890814966,0.06751253204998568,0.27966372605676826,-5.538385794375701,2.5533721578899202,0.0,1.0,0,0,4636,154
Yr2016,2016 Valentine earthquake,M1_nonstationary_groundwater_only,11100,4790,154,4636,0.9303796936454399,0.0776275913945764,0.3032828211697237,-6.273181485562361,3.1054062234096973,0.2597402597402597,0.99137187230371,40,40,4596,114
Yr2016,2016 Valentine earthquake,M2_nonstationary_groundwater_gradation,11100,4790,154,4636,0.9224869177414475,0.07648148297834877,0.29939230587629406,-5.884584994844371,3.0628065900772947,0.4090909090909091,0.9844693701466781,63,72,4564,91
Yr2016,2016 Valentine earthquake,M3_full_nonstationary_random_field,11100,4790,154,4636,0.9224897190816086,0.07649402404925919,0.2994135173856013,-5.886824534034884,3.064833808482627,0.4090909090909091,0.9844693701466781,63,72,4564,91
