heldout_event_key,heldout_event_name,model_name,false_negative_cost_ratio,locked_threshold_selected_on_training_events,training_selection_loss,test_expected_loss_per_case,test_fn,test_fp,test_tp,test_tn,n_test,threshold_policy
Yr2010,2010 Darfield earthquake,M0_static_stationary,1,0.275,0.10421072870601808,0.25309766763848396,1241,148,72,4027,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M0_static_stationary,2,0.25,0.14054989425110556,0.5169460641399417,1211,415,102,3760,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M0_static_stationary,5,0.25,0.23745433570467217,1.178935860058309,1211,415,102,3760,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M0_static_stationary,10,0.125,0.2541818880984426,1.043002915451895,230,3424,1083,751,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M0_static_stationary,20,0.125,0.2695635454720246,1.4620991253644315,230,3424,1083,751,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M0_static_stationary,50,0.1,0.3045568159969237,0.8137755102040817,6,4166,1307,9,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M0_static_stationary,100,0.1,0.3382041915016343,0.8684402332361516,6,4166,1307,9,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M1_nonstationary_groundwater_only,1,0.325,0.10334551047875408,0.26494169096209913,1221,233,92,3942,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M1_nonstationary_groundwater_only,2,0.3,0.13583926168044608,0.49198250728862974,1201,298,112,3877,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M1_nonstationary_groundwater_only,5,0.275,0.2195731590078831,1.1299198250728864,1164,381,149,3794,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M1_nonstationary_groundwater_only,10,0.15,0.2686983272447606,1.691326530612245,776,1522,537,2653,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M1_nonstationary_groundwater_only,20,0.1,0.322245721976543,1.5705174927113703,289,2839,1024,1336,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M1_nonstationary_groundwater_only,50,0.075,0.3662757162084215,1.471938775510204,90,3578,1223,597,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M1_nonstationary_groundwater_only,100,0.05,0.3981926552586041,0.9475218658892128,12,4000,1301,175,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M2_nonstationary_groundwater_gradation,1,0.35,0.10440299942318784,0.258564139941691,1205,214,108,3961,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M2_nonstationary_groundwater_gradation,2,0.3,0.1378581042107287,0.48268950437317787,1147,355,166,3820,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M2_nonstationary_groundwater_gradation,5,0.175,0.19928859834647183,0.9874271137026239,848,1179,465,2996,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2010,2010 Darfield earthquake,M2_nonstationary_groundwater_gradation,10,0.15,0.2522591809267449,1.5537536443148687,707,1457,606,2718,5488,selected_on_two_canterbury_events_then_applied_to_heldout_event
