domain,model_name,false_negative_cost_ratio,threshold,expected_loss_per_case,tp,fp,tn,fn,n_cases,threshold_policy
Balanced mean across validation domains,M0_static_stationary,1.0,,0.09989686035941543,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,2.0,,0.12496503740997134,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,3.0,,0.15003321446052723,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,5.0,,0.1613191385217817,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,7.5,,0.16205335291238376,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,10.0,,0.1627875673029858,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,15.0,,0.16425599608418992,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,20.0,,0.16559855954129082,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,30.0,,0.16790609048318297,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,50.0,,0.17252115236696733,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,75.0,,0.17828997972169777,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,100.0,,0.18405880707642822,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,1.0,,0.19248741346758969,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,2.0,,0.2297120830711139,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,3.0,,0.2669367526746381,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,5.0,,0.28336217747010695,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,7.5,,0.2846837633731907,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,10.0,,0.2859424166142228,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,15.0,,0.288459723096287,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,20.0,,0.29097702957835114,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,30.0,,0.2954767149150409,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,50.0,,0.30243077407174324,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M1_nonstationary_groundwater_only,75.0,,0.3109581497797357,,,,,15914,balanced_mean_of_domain_diagnostic_optima
