domain,model_name,false_negative_cost_ratio,threshold,expected_loss_per_case,tp,fp,tn,fn,n_cases,threshold_policy
Case-weighted global fixed-threshold mean,M0_static_stationary,1.0,0.5,0.3932294937821882,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,2.0,0.5,0.40742369049114435,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,3.0,0.5,0.4216178872001005,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,5.0,0.5,0.4500062806180128,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,7.5,0.5,0.4854917723904032,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,10.0,0.5,0.5209772641627937,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,15.0,0.5,0.5919482477075744,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,20.0,0.5,0.6629192312523552,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,30.0,0.5,0.8048611983419168,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,50.0,0.5,1.08874513252104,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,75.0,0.5,1.4436000502449442,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M0_static_stationary,100.0,0.5,1.7984549679688482,5976,6035,3685,226,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,1.0,0.5,0.39311298227975366,5993,6051,3665,205,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,2.0,0.5,0.40599472162875455,5993,6051,3665,205,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,3.0,0.5,0.41887646097775544,5993,6051,3665,205,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,5.0,0.5,0.4446399396757572,5993,6051,3665,205,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,7.5,0.5,0.4768442880482594,5993,6051,3665,205,15914,case_weighted_fixed_threshold_0p50
