domain,model_name,false_negative_cost_ratio,threshold,expected_loss_per_case,tp,fp,tn,fn,n_cases,threshold_policy
Nisqually primary leave-one-family,M0_static_stationary,1.0,0.5,0.125,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,2.0,0.5,0.20833333333333334,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,3.0,0.5,0.2916666666666667,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,5.0,0.5,0.4583333333333333,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,7.5,0.5,0.6666666666666666,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,10.0,0.5,0.875,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,15.0,0.5,1.2916666666666667,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,20.0,0.5,1.7083333333333333,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,30.0,0.5,2.5416666666666665,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,50.0,0.5,4.208333333333333,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,75.0,0.5,6.291666666666667,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M0_static_stationary,100.0,0.5,8.375,7,1,14,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,1.0,0.5,0.16666666666666666,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,2.0,0.5,0.25,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,3.0,0.5,0.3333333333333333,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,5.0,0.5,0.5,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,7.5,0.5,0.7083333333333334,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,10.0,0.5,0.9166666666666666,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,15.0,0.5,1.3333333333333333,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,20.0,0.5,1.75,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,30.0,0.5,2.5833333333333335,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,50.0,0.5,4.25,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,75.0,0.5,6.333333333333333,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M1_nonstationary_groundwater_only,100.0,0.5,8.416666666666666,7,2,13,2,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,1.0,0.5,0.08333333333333333,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,2.0,0.5,0.125,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,3.0,0.5,0.16666666666666666,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,5.0,0.5,0.25,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,7.5,0.5,0.3541666666666667,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,10.0,0.5,0.4583333333333333,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,15.0,0.5,0.6666666666666666,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,20.0,0.5,0.875,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,30.0,0.5,1.2916666666666667,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,50.0,0.5,2.125,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,75.0,0.5,3.1666666666666665,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M2_nonstationary_groundwater_gradation,100.0,0.5,4.208333333333333,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,1.0,0.5,0.08333333333333333,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,2.0,0.5,0.125,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,3.0,0.5,0.16666666666666666,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,5.0,0.5,0.25,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,7.5,0.5,0.3541666666666667,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,10.0,0.5,0.4583333333333333,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,15.0,0.5,0.6666666666666666,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,20.0,0.5,0.875,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,30.0,0.5,1.2916666666666667,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,50.0,0.5,2.125,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,75.0,0.5,3.1666666666666665,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,M3_full_nonstationary_random_field,100.0,0.5,4.208333333333333,8,1,14,1,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,1.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,2.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,3.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,5.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,7.5,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,10.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,15.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,20.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,30.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,50.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,75.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
Nisqually primary leave-one-family,conservative_max_M0_M3,100.0,0.5,0.08333333333333333,9,2,13,0,24,fixed_threshold_0p50
SODO/UW adverse industrial-waterway holdout,M0_static_stationary,1.0,0.5,0.0,4,0,4,0,8,fixed_threshold_0p50
SODO/UW adverse industrial-waterway holdout,M0_static_stationary,2.0,0.5,0.0,4,0,4,0,8,fixed_threshold_0p50
SODO/UW adverse industrial-waterway holdout,M0_static_stationary,3.0,0.5,0.0,4,0,4,0,8,fixed_threshold_0p50
