model,heldout_earthquake,n_test,n_liq,n_nonliq,raw_score_auc,auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity,specificity,tp,fp,tn,fn
combined_instrument_score,Alaska earthquake,10,9,1,0.5555555555555556,0.5555555555555556,0.10174890245930338,0.36811069159270365,2.199700910680159,0.07886233068068335,1.0,0.0,9,1,0,0
combined_instrument_score,"Borah Peak, Idaho earthquake",44,35,9,0.9047619047619048,0.9047619047619048,0.15063267826772608,0.48925811223754595,1.7252785655937741,1.4282408004467568,0.8857142857142857,0.8888888888888888,31,1,8,4
combined_instrument_score,Chi-Chi earthquake,19,3,16,0.9166666666666666,0.9166666666666666,0.370617639137123,1.0520277167808831,-2.0668603700626833,1.13569336319198,1.0,0.25,3,12,4,0
combined_instrument_score,"Friuli, Italy earthquake",4,4,0,,,0.14876418954465326,0.46308512381058814,19.35101971367158,1.6033882338518321e-24,0.75,0.0,3,0,0,1
combined_instrument_score,Guatemala earthquake,3,2,1,1.0,1.0,0.19893737929241836,0.5865815458124469,0.7308503209309549,0.45349714636001187,0.5,1.0,1,0,1,1
combined_instrument_score,Hokkaido-Nansei-Oki earthquake,2,2,0,,,0.024791891559847297,0.17026052269622316,18.67729079116364,1.2980027052672551e-23,1.0,0.0,2,0,0,0
combined_instrument_score,Hyogoken-Nambu earthquake,19,9,10,0.8444444444444444,0.8444444444444444,0.24947158706304431,0.7105680840635556,-0.1981988022639092,1.255248821916737,1.0,0.2,9,8,2,0
combined_instrument_score,Izmit-Kocaeli earthquake,11,10,1,1.0,1.0,0.1272084931583939,0.4170701308873953,2.640206784176698,0.9398774313807803,0.7,1.0,7,0,1,3
combined_instrument_score,Kaikora earthquake,2,2,0,,,0.05294963189629298,0.260250286210186,18.67729079116364,0.0,1.0,0.0,2,0,0,0
combined_instrument_score,Loma Prieta earthquake,4,0,4,,,0.28138269545706485,0.7573860446659878,-19.351019711665383,-1.6543603648382184e-24,0.0,0.5,0,2,2,0
combined_instrument_score,Muisne earthquake,3,3,0,,,0.07660091685658882,0.32348077736381625,19.072999896830208,-1.6543595211157487e-24,1.0,0.0,3,0,0,0
combined_instrument_score,Nihonkai-Chubu earthquake,2,0,2,,,0.05024501281869765,0.25039078802681813,-18.677290791697082,-6.4645272488565414e-24,0.0,1.0,0,0,2,0
combined_instrument_score,"San Francisco, California earthquake",4,4,0,,,0.063869027500216,0.2878262022467734,19.35101971367158,-3.2067781882384437e-24,1.0,0.0,4,0,0,0
combined_instrument_score,Tohoku earthquake,24,4,20,0.925,0.925,0.28651518872435056,0.9002853022080348,-1.9824712601127563,1.1167904490175293,1.0,0.45,4,11,9,0
combined_instrument_score,Wenchuan earthquake,81,47,34,0.9086357947434293,0.9086357947434293,0.1759112669000873,0.5215501127507609,0.4739557555721284,2.070077176379131,0.574468085106383,0.9411764705882353,27,2,32,20
dpt_screening_score,Alaska earthquake,10,9,1,0.4444444444444444,0.4444444444444444,0.10324765091758688,0.36864208143011135,2.1973602650025814,0.018411719809065513,1.0,0.0,9,1,0,0
dpt_screening_score,"Borah Peak, Idaho earthquake",44,35,9,0.8285714285714286,0.8285714285714286,0.20146823123537627,0.5955438702828886,1.5608439933924698,1.0620776788645754,0.8285714285714286,0.8888888888888888,29,1,8,6
dpt_screening_score,Chi-Chi earthquake,19,3,16,0.9166666666666666,0.9166666666666666,0.402078573252491,1.1403156202032283,-1.9625160779836406,0.9640072257185509,1.0,0.125,3,14,2,0
dpt_screening_score,"Friuli, Italy earthquake",4,4,0,,,0.14949517128126674,0.4708825876661862,19.35101971367158,-2.385968285558512e-24,0.75,0.0,3,0,0,1
dpt_screening_score,Guatemala earthquake,3,2,1,1.0,1.0,0.22031531813298275,0.633096513233404,0.7387381119027089,0.49740373544249983,0.5,1.0,1,0,1,1
dpt_screening_score,Hokkaido-Nansei-Oki earthquake,2,2,0,,,0.07478054765909306,0.31914555886110973,18.67729079116364,-1.1351152102384084e-23,1.0,0.0,2,0,0,0
dpt_screening_score,Hyogoken-Nambu earthquake,19,9,10,0.8444444444444444,0.8444444444444444,0.22353473115895953,0.6414885322988525,-0.2226308363540317,1.279426862381774,1.0,0.2,9,8,2,0
dpt_screening_score,Izmit-Kocaeli earthquake,11,10,1,1.0,1.0,0.11836293987455836,0.40016969611236525,2.5575871870976292,0.8183233914654433,0.9,1.0,9,0,1,1
dpt_screening_score,Kaikora earthquake,2,2,0,,,0.1413506747234321,0.4709171393501833,18.67729079116364,0.0,1.0,0.0,2,0,0,0
dpt_screening_score,Loma Prieta earthquake,4,0,4,,,0.2216800461146415,0.6363120533061772,-19.351019711665383,1.6033878050550638e-24,0.0,0.75,0,1,3,0
dpt_screening_score,Muisne earthquake,3,3,0,,,0.10696018019106834,0.39599843809502794,19.072999896830208,2.89119705378595e-23,1.0,0.0,3,0,0,0
dpt_screening_score,Nihonkai-Chubu earthquake,2,0,2,,,0.0742551753629371,0.3152558772952373,-18.677290791697082,3.2577498996895506e-24,0.0,1.0,0,0,2,0
dpt_screening_score,"San Francisco, California earthquake",4,4,0,,,0.08675952297042767,0.34792965738558884,19.35101971367158,9.492901441380685e-24,1.0,0.0,4,0,0,0
dpt_screening_score,Tohoku earthquake,24,4,20,0.925,0.925,0.3151576776936338,1.006389456061694,-1.932140092270207,1.03729837677788,1.0,0.4,4,12,8,0
