model_name,false_negative_cost_ratio,locked_threshold,selection_domain,selection_expected_loss_per_case,selection_tp,selection_fp,selection_tn,selection_fn,selection_n_cases
M0_static_stationary,1.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,1.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,1.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,1.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,1.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,2.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,2.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,2.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,2.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,2.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,3.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,3.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,3.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,3.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,3.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,5.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,5.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,5.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,5.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,5.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,7.5,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,7.5,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,7.5,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,7.5,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,7.5,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,10.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,10.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,10.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,10.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,10.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,15.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,15.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,15.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,15.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,15.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,20.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,20.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,20.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,20.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,20.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,30.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,30.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,30.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,30.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,30.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,50.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,50.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,50.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,50.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,50.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,75.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,75.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,75.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,75.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,75.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M0_static_stationary,100.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M1_nonstationary_groundwater_only,100.0,0.075,Nisqually primary leave-one-family,0.125,9,3,12,0,24
M2_nonstationary_groundwater_gradation,100.0,0.125,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
M3_full_nonstationary_random_field,100.0,0.325,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
conservative_max_M0_M3,100.0,0.725,Nisqually primary leave-one-family,0.041666666666666664,9,1,14,0,24
