n_test,positive_rate,auc,brier_score,log_loss,mean_predicted_probability,calibration_intercept,calibration_slope,protocol,model_name,n_groups,rank_by_brier
8,0.5,1.0,0.06030375596443973,0.24884374498579026,0.3949172441310529,0.04312465412873692,1.4615248033048178,fixed_family_holdout_SODO_UW,M0_static_stationary,2,best
8,0.5,1.0,0.08942941806640924,0.2986924574410856,0.3511765651061717,-0.03351251501627018,1.3641653432873906,fixed_family_holdout_SODO_UW,M3_random_field,2,worst
24,0.375,0.9925925925925926,0.04592768372298753,0.18690665317797742,0.36688452330823146,-0.8851267590490204,2.0878502768514076,leave_one_family_out,M2_groundwater_gradation,15,best
24,0.375,0.9333333333333333,0.09767482970161893,0.32098575237015564,0.37457746647527745,-0.8370716617373666,1.7441363156416076,leave_one_family_out,M1_groundwater,15,worst
24,0.375,0.9851851851851852,0.08098087551709952,0.2787757130714675,0.32594679345828753,-0.8359899873689162,1.9691750006251039,leave_one_region_out,M3_random_field,4,best
24,0.375,0.8962962962962963,0.14936324719214922,0.4486056222016072,0.30331018347034494,-0.6631903518842758,1.4265744924938213,leave_one_region_out,M1_groundwater,4,worst
24,0.375,0.9925925925925926,0.04592768372298753,0.1869066531779774,0.36688452330823146,-0.8851267590490205,2.0878502768514076,nested_family_cv_select_by_inner_brier,selected_per_outer_fold,15,best
24,0.375,0.9925925925925926,0.04592768372298753,0.1869066531779774,0.36688452330823146,-0.8851267590490205,2.0878502768514076,nested_family_cv_select_by_inner_brier,selected_per_outer_fold,15,worst
2,0.5,1.0,0.020893035778210736,0.13686231417363692,0.4272073636638158,,,temporal_pre_train_post_test,M3_random_field,1,best
2,0.5,1.0,0.048321051708345615,0.21360957744074976,0.3786128123977272,,,temporal_pre_train_post_test,M0_static_stationary,1,worst
