domain,validation_protocol,model,n_cases,mean_brier,mean_brier_delta_vs_m0,bootstrap_delta_ci95_low,bootstrap_delta_ci95_high,cases_better_than_m0,cases_worse_than_m0,cases_tied_with_m0,claim_interpretation
pooled_nisqually_leave_one_family,leave-one-site-family-out spatial validation,M0_static_stationary,24,0.07227503203418904,0.0,0.0,0.0,,,,baseline comparator
pooled_nisqually_leave_one_family,leave-one-site-family-out spatial validation,M1_nonstationary_groundwater_only,24,0.09941022551026157,0.027135193476072513,0.0022945175109646346,0.06690096346849739,8,16,0,paired_brier_degradation_supported
pooled_nisqually_leave_one_family,leave-one-site-family-out spatial validation,M2_nonstationary_groundwater_gradation,24,0.025680213749149774,-0.04659481828503928,-0.11463761889555005,0.009155927844622299,18,6,0,paired_brier_difference_uncertain
pooled_nisqually_leave_one_family,leave-one-site-family-out spatial validation,M3_full_nonstationary_random_field,24,0.03819229779349495,-0.0340827342406941,-0.08698613654442247,0.01121928138686197,18,6,0,paired_brier_difference_uncertain
pooled_nisqually_leave_one_family,leave-one-site-family-out spatial validation,conservative_max_M0_M3,24,0.0620031034088814,-0.010271928625307654,-0.060069641477286474,0.03852520836555383,9,13,2,paired_brier_difference_uncertain
sodo_uw_strict_adverse_holdout,fixed_family_holdout_SODO_UW,M0_static_stationary,8,0.06030375596443974,0.0,0.0,0.0,,,,baseline comparator
sodo_uw_strict_adverse_holdout,fixed_family_holdout_SODO_UW,M1_nonstationary_groundwater_only,8,0.060471254325830476,0.00016749836139074315,-0.012248688751787267,0.009391201502638212,2,6,0,paired_brier_difference_uncertain
sodo_uw_strict_adverse_holdout,fixed_family_holdout_SODO_UW,M2_nonstationary_groundwater_gradation,8,0.08165320846872415,0.02134945250428441,-0.04792125276308632,0.10151444963411832,5,3,0,paired_brier_difference_uncertain
sodo_uw_strict_adverse_holdout,fixed_family_holdout_SODO_UW,M3_full_nonstationary_random_field,8,0.08942941806640924,0.029125662101969495,-0.04204573929471399,0.11070433442087406,5,3,0,paired_brier_difference_uncertain
sodo_uw_strict_adverse_holdout,fixed_family_holdout_SODO_UW,conservative_max_M0_M3,8,0.03642066849514546,-0.02388308746929427,-0.0606036301391123,0.005242802700789759,2,4,2,paired_brier_difference_uncertain
canterbury_three_event_temporal_transfer,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,M0_static_stationary,3,0.32598917586499765,0.0,0.0,0.0,,,,baseline comparator
canterbury_three_event_temporal_transfer,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,M1_nonstationary_groundwater_only,3,0.3268951631977575,0.0009059873327598713,1.4544622940012405e-29,0.001683658698262147,0,3,0,descriptive_only_small_n
canterbury_three_event_temporal_transfer,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,M2_nonstationary_groundwater_gradation,3,0.3057979562765862,-0.02019121958841143,-0.058894909994020694,4.622288565906929e-25,2,1,0,descriptive_only_small_n
canterbury_three_event_temporal_transfer,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,M3_full_nonstationary_random_field,3,0.14636324535781944,-0.17962593050717823,-0.5356505736256554,1.1030331916762043e-24,2,1,0,descriptive_only_small_n
canterbury_three_event_temporal_transfer,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,conservative_max_M0_M3,3,0.3268951631977575,0.0009059873327598713,0.0,0.001683658698262147,0,2,1,descriptive_only_small_n
canterbury_multi_site_temporal_transfer,Nisqually-trained external transfer to all usable Canterbury CPT event states,M0_static_stationary,15890,0.31817487176871506,0.0,0.0,0.0,,,,baseline comparator
canterbury_multi_site_temporal_transfer,Nisqually-trained external transfer to all usable Canterbury CPT event states,M1_nonstationary_groundwater_only,15890,0.31988558964764413,0.0017107178789290641,0.0015411405113776532,0.0018772559945096875,4232,11119,539,paired_brier_degradation_supported
canterbury_multi_site_temporal_transfer,Nisqually-trained external transfer to all usable Canterbury CPT event states,M2_nonstationary_groundwater_gradation,15890,0.4078467083613047,0.08967183659258963,0.08551694818221822,0.09408649765828782,5809,9695,386,paired_brier_degradation_supported
canterbury_multi_site_temporal_transfer,Nisqually-trained external transfer to all usable Canterbury CPT event states,M3_full_nonstationary_random_field,15890,0.406719405820341,0.08854453405162593,0.08463955260374972,0.09270872714188082,6244,9165,481,paired_brier_degradation_supported
canterbury_multi_site_temporal_transfer,Nisqually-trained external transfer to all usable Canterbury CPT event states,conservative_max_M0_M3,15890,0.4289605572798849,0.11078568551116987,0.10702465557772707,0.11482774751462989,4194,9052,2644,paired_brier_degradation_supported
