Component Category,Component Type,Component Name,ds1_repair_cost_p50,ds1_repair_time_p50,ds2_repair_cost_p50,ds2_repair_time_p50,ds3_repair_cost_p50,ds3_repair_time_p50,ds4_repair_cost_p50,ds4_repair_time_p50,ds3_vs_ds1_cost_ratio,ds4_vs_ds1_cost_ratio,ds3_vs_ds1_time_ratio,ds4_vs_ds1_time_ratio
B - Shell,Buckling restrained brace,Buckling restrained brace,19472.0,201.21066666666667,,,,,,,,,,
B - Shell,RBS connection,"RBS connection, beam one side of column.",4069.0,55.60966666666666,10958.0,149.75933333333333,10958.0,149.75933333333333,,,2.693044974195134,,2.693044974195134,
B - Shell,EBF shear link,EBF shear link in K configuration,4069.0,55.60966666666666,31640.0,395.5,42092.0,512.1193333333333,42092.0,512.1193333333333,10.34455640206439,10.34455640206439,9.209178260374395,9.209178260374395
B - Shell,Walls,"Slender RC wall, 250 mm thick",13283.0,143.89916666666667,26340.0,285.35,35690.0,404.4866666666667,46048.0,552.5759999999999,2.6868930211548596,3.466686742452759,2.8109034682850838,3.840022237793825
B - Shell,Coupling beams,Diagonally reinforced coupling beam with aspect ratio between 1.0 and 2.0,6704.0,75.97866666666667,11635.0,131.86333333333334,26988.0,323.856,,,4.0256563245823385,,4.262459637793064,
B - Shell,Precast floor,Hollowcore floor,16843.0,190.88733333333337,27040.0,306.4533333333333,141558.0,1462.766,,,8.404559757762868,,7.6629809556073205,
B - Shell,Façade,Cladding,3140.0,26.166666666666668,3340.0,27.833333333333332,3899.0,32.49166666666667,,,1.2417197452229298,,1.2417197452229298,
B - Shell,Roofing,Long run profiled metal roofing on DHS purlins,3000.0,43.5,7600.0,82.33333333333333,,,,,,,,
C - Interiors,Partition wall,Steel stud partition wall  ,2894.0,30.869333333333334,5216.0,53.89866666666667,10191.0,98.51299999999999,,,3.521423635107118,,3.1912901693158253,
C - Interiors,Partition wall,Timber stud partition wall,2894.0,30.869333333333334,3666.0,37.882,9941.0,96.09633333333333,,,3.43503800967519,,3.113003196268141,
C - Interiors,Partition wall,Fire-rated timber stud partition wall,2894.0,30.869333333333334,3815.0,38.785833333333336,10677.0,103.211,,,3.6893572909467864,,3.343480044920525,
C - Interiors,Stairs,Precast concrete stair,635.0,6.773333333333334,1855.0,18.859166666666667,9108.0,88.044,32870.0,372.5266666666667,14.343307086614173,51.76377952755905,12.998622047244092,54.999015748031496
C - Interiors,Ceiling,Two-way exposed suspended ceiling ,472.0,7.473333333333333,3012.5,33.639583333333334,4412.5,45.59583333333333,,,9.348516949152541,,6.10113737734166,
C - Interiors,Ceiling,Direct fix sheeted ceiling,1381.25,14.733333333333333,4237.5,43.7875,5662.5,55.68125,,,4.099547511312217,,3.7792703619909505,
D - Services,Fire  sprinkler system,Fire sprinkler water piping with seismic bracing,1128.0,15.979999999999999,1627.5,23.05625,,,,,,,,
D - Services,Fire  sprinkler system,"Fire sprinkler dropper, threaded steel.",1227.5,17.389583333333334,2362.5,33.46875,,,,,,,,
D - Services,Heating and cooling systems,"Low-tempurature hot water (LTHW), chilled water (CHW) pipework",6425.0,82.45416666666667,11400.0,134.9,22900.0,255.7166666666667,,,3.5642023346303504,,3.1013189145484867,
D - Services,Heating and cooling systems,Air source heatpump /chiller,1850.0,25.9,3150.0,37.8,7350.0,67.37500000000001,,,3.972972972972973,,2.601351351351352,
D - Services,Heating and cooling systems,DX (direct expansion) system,900.0,12.9,3000.0,27.500000000000004,,,,,,,,
D - Services,Heating and cooling systems,Pump,900.0,12.9,2000.0,18.333333333333332,,,,,,,,
D - Services,Ventilation system,Fan,1990.0,26.865000000000002,5110.0,49.39666666666666,5110.0,49.39666666666666,,,2.5678391959798996,,1.8386996711954833,
D - Services,Ventilation system,Ductwork,19660.0,196.6,,,,,,,,,,
D - Services,Ventilation system,Diffuser,3530.0,50.596666666666664,,,,,,,,,,
D - Services,Ventilation system,Air handling unit,3050.0,43.71666666666667,5750.0,59.416666666666664,29700.0,173.25,,,9.737704918032787,,3.9630194433854364,
D - Services,Ventilation system,Fan coil unit,5760.0,78.72,8280.0,104.88000000000001,15780.0,136.76000000000002,,,2.7395833333333335,,1.73729674796748,
D - Services,Water supplies,Hot water cylinder,2000.0,28.666666666666668,,,,,,,,,,
D - Services,Sanitary drainage,Waste water pipework,10220.0,134.56333333333333,,,,,,,,,,
D - Services,Electrical distribution,Distribution board,1460.0,21.413333333333334,7560.0,93.24,,,,,,,,
D - Services,Electrical distribution,Main switchboard,1760.0,25.813333333333333,8960.0,110.50666666666666,,,,,,,,
D - Services,Electrical distribution,Generator,4000.0,59.333333333333336,13000.0,186.33333333333334,,,,,,,,
D - Services,,Comms rack,1160.0,16.62666666666667,7260.0,101.64,,,,,,,,
D - Services,,Control panel,1220.0,17.486666666666668,,,,,,,,,,
D - Services,,Security panel,1220.0,17.486666666666668,,,,,,,,,,
D - Services,Electrical distribution,Electrical distribution,3035.0,41.47833333333333,4035.0,51.11,,,,,,,,
D - Services,Lighting,Luminaries - recessed,575.0,8.625,625.0,9.375,1215.0,12.15,,,2.1130434782608694,,1.4086956521739131,
D - Services,Lighting,Luminaries - fully suspended,575.0,8.625,1215.0,12.15,,,,,,,,
D - Services,Lighting,Emergency lighting,575.0,8.625,625.0,9.375,1215.0,12.15,,,2.1130434782608694,,1.4086956521739131,
D - Services,Lifting,Traction elevator,,,,,,,,,,,,
