site_id,site_name,longitude,latitude,test_date,event_date,observed_liquefaction,pga_g,wtd_observed_m,wtd_event_model_mean_m,wtd_event_site_adjusted_m,qc10_mpa,qc25_mpa,ic_median,friction_ratio_median_pct,theta_z_m,variogram_rmse,source_dataset
Capitol_Lake_01,Capitol Lake-01,-122.90427342835892,47.041971809409176,1995-12-18,2001-02-28,1,0.221,0.6096,2.120782937636373,0.3983068068509108,0.613018245,0.6718017525,0.9370306449834089,0.3543629899235225,0.9138655462184874,0.08949584059469637,DesignSafe PRJ-3758
SODO_01,SODO-01,-122.33087461995913,47.5828694959831,1995-01-17,2001-02-28,1,0.234,3.048,2.120782937636373,2.836706806850911,0.47215432,1.5524400625,1.2784384036251877,0.8856432860378907,0.9138655462184874,0.5007698576939121,DesignSafe PRJ-3758
Capitol_Lake_02,Capitol Lake-02,-122.906716122839,47.0381740739546,1995-12-18,2001-02-28,1,0.217,1.524,2.120782937636373,1.312706806850911,2.862798169,6.827692695,1.4626195182998374,1.1465942993761646,0.4159663865546218,0.28910498305717774,DesignSafe PRJ-3758
Harbor_Island_01,Harbor Island-01,-122.34980115,47.58870481,1999-03-09,2001-02-28,1,0.18,3.2918400000000005,2.120782937636373,3.0805468068509114,3.9841733020000003,8.84392607,1.2834571254132703,0.6312049783273183,0.5819327731092436,0.3817813005146823,DesignSafe PRJ-3758
Harbor_Island_02,Harbor Island-02,-122.3553784,47.57586358,1997-07-19,2001-02-28,1,0.184,2.4384,2.120782937636373,2.2271068068509114,3.868187174,4.9235165725000005,1.0722716584259975,0.5225555132910209,1.0798319327731092,0.09964406282938369,DesignSafe PRJ-3758
SODO_02,SODO-02,-122.335805519854,47.5787812019855,1992-02-24,2001-02-28,1,0.199,2.1336,2.120782937636373,1.9223068068509113,3.3281883740000002,4.9458927374999995,1.3085117789780403,1.0388283086377772,1.245798319327731,0.1334797438009923,DesignSafe PRJ-3758
SODO_03,SODO-03,-122.334837374459,47.5750206883678,1987-07-27,2001-02-28,1,0.198,2.7432000000000003,2.120782937636373,2.5319068068509116,1.216414808,3.47314994,1.4330957770653538,1.4954741718102638,0.7478991596638656,0.23856127553143872,DesignSafe PRJ-3758
SODO_04,SODO-04,-122.33393621,47.58417126,2003-03-24,2001-02-28,1,0.197,0.9906,2.120782937636373,0.779306806850911,1.6772967532000003,3.75794935,1.1903000788538174,0.8227831921496407,0.5819327731092436,0.33394452673312824,DesignSafe PRJ-3758
Boeing_Field_01,Boeing Field-01,-122.301620802542,47.5361259266208,2000-03-31,2001-02-28,1,0.201,2.1336,2.120782937636373,1.9223068068509113,1.398507877,1.9865326825,1.2964777449343137,1.066497426597022,0.5819327731092436,0.1990256484461636,DesignSafe PRJ-3758
Duwamish_01,Duwamish-01,-122.316733349313,47.5344507726665,1990-05-06,2001-02-28,0,0.192,2.286,2.120782937636373,2.0747068068509114,0.6128752270000001,1.92953099,1.519316410569255,1.668822572969583,1.245798319327731,0.5459685811732258,DesignSafe PRJ-3758
Discovery_Park_01,Discovery Park-01,-122.430819171289,47.661330541488,1989-01-10,2001-02-28,0,0.084,3.9624,2.120782937636373,3.7511068068509106,1.15928218,2.68749802,1.4801561127306821,1.395194531470282,0.7478991596638656,0.44016436781890206,DesignSafe PRJ-3758
Elliott_Ave_01,Elliott Ave-01,-122.366639053034,47.6245080584345,1997-08-13,2001-02-28,0,0.142,1.8288000000000002,2.120782937636373,1.617506806850911,1.323173428,2.97049953,1.3192901143148807,0.971621691473639,0.5819327731092436,0.17085755756511758,DesignSafe PRJ-3758
Smith_Cove_01,Smith Cove-01,-122.376982689217,47.631682374292,1997-11-14,2001-02-28,0,0.127,2.7432000000000003,2.120782937636373,2.5319068068509116,0.92479088,1.88995508,1.121728561927329,0.550563816590193,0.9138655462184874,0.7902202908767515,DesignSafe PRJ-3758
Smith_Cove_02,Smith Cove-02,-122.37741674805,47.6309202597743,2000-02-11,2001-02-28,0,0.128,3.6576000000000004,2.120782937636373,3.4463068068509113,0.800243858,1.34898395,1.70580188800754,2.425463672650222,0.7478991596638656,0.35280420230207465,DesignSafe PRJ-3758
Emerald_Downs_01,Emerald Downs-01,-122.23296146621,47.3270714792471,1992-09-14,2001-02-28,0,0.158,1.0,2.120782937636373,0.7887068068509109,0.70361952,2.1990223025,1.5005550643149501,1.56216672688015,0.7478991596638656,0.3715209190159037,DesignSafe PRJ-3758
Bush_School_01,Bush School-01,-122.28962365,47.62284421,2002-06-11,2001-02-28,0,0.119,3.048,2.120782937636373,2.836706806850911,2.440316754,2.95939212,1.809845139010806,3.58065416768689,0.5819327731092436,0.16634101879373578,DesignSafe PRJ-3758
Factoria_01,Factoria-01,-122.171810318797,47.5737525340853,1979-02-08,2001-02-28,0,0.102,1.524,2.120782937636373,1.312706806850911,0.772008714,3.85481781,1.4636322984428032,1.2362376721815789,0.9138655462184874,0.8274521747154093,DesignSafe PRJ-3758
UW_01,UW-01,-122.301101343734,47.6548107073433,1996-02-28,2001-02-28,0,0.129,0.762,2.120782937636373,0.5507068068509109,0.7959499179999999,1.7610231250000001,1.5380189688870525,1.8701847592492937,0.25,0.22236577370779767,DesignSafe PRJ-3758
UW_02,UW-02,-122.299341765541,47.6551234583796,1996-02-29,2001-02-28,0,0.129,0.762,2.120782937636373,0.5507068068509109,1.719556334,3.1572334399999997,1.5967717826547696,2.0615510490740965,0.4159663865546218,0.16746960514640197,DesignSafe PRJ-3758
UW_03,UW-03,-122.295665886855,47.6602728906563,1996-02-09,2001-02-28,0,0.127,2.4384,2.120782937636373,2.2271068068509114,1.1952670170000002,1.643531035,1.6888814994498453,2.50507400111022,0.4159663865546218,0.17068188754345878,DesignSafe PRJ-3758
UW_04,UW-04,-122.296197914198,47.6609013826224,1996-02-12,2001-02-28,0,0.126,2.4384,2.120782937636373,2.2271068068509114,0.6443501810000001,0.9274245825,1.9662055309267457,4.667762787696417,0.5819327731092436,0.315133526151553,DesignSafe PRJ-3758
Issaquah_01,Issaquah-01,-122.053685732467,47.5506449012431,1992-10-13,2001-02-28,0,0.125,2.4384,2.120782937636373,2.2271068068509114,0.79891752,1.17539771,1.2362159257434429,0.9123168504571868,0.4159663865546218,0.14966397327095243,DesignSafe PRJ-3758
Blair_Waterway_01,Blair Waterway-01,-122.387559553708,47.2648679399872,1981-02-09,2001-02-28,0,0.104,3.048,2.120782937636373,2.836706806850911,0.379904905,0.5067542199999999,1.6811157274605733,2.472687122751388,0.9138655462184874,0.8224212756210819,DesignSafe PRJ-3758
Green_River_01,Green River-01,-122.22927904448,47.3644617138045,1978-11-01,2001-02-28,0,0.166,5.1816,2.120782937636373,4.970306806850911,0.8283768579999999,1.1132556025,1.602768866984708,2.227861220833869,0.5819327731092436,0.3257011635700947,DesignSafe PRJ-3758
