holdout_family,site_id,site_family,model_name,pf,observed_liquefaction,validation_protocol,holdout_family_pair,validation_split,wtd_event_site_adjusted_m,qc10_mpa,ic_median,theta_z_m,year,layer_id,csr,crr,fs,beta_equivalent,critical_layer_rank,notes
Blair Waterway,Blair_Waterway_01,Blair Waterway,M0_static_stationary,0.0012357935768193687,0,leave-one-site-family-out spatial validation,,,2.836706806850911,0.379904905,1.6811157274605733,0.9138655462184874,2001,site_screening_profile,,,,3.0267984268936976,,spatial cross-fitted site-calibrated probability
Blair Waterway,Blair_Waterway_01,Blair Waterway,M1_nonstationary_groundwater_only,0.001249442832703555,0,leave-one-site-family-out spatial validation,,,2.836706806850911,0.379904905,1.6811157274605733,0.9138655462184874,2001,site_screening_profile,,,,3.023476341856126,,spatial cross-fitted site-calibrated probability
Blair Waterway,Blair_Waterway_01,Blair Waterway,M2_nonstationary_groundwater_gradation,5.9502199453535624e-05,0,leave-one-site-family-out spatial validation,,,2.836706806850911,0.379904905,1.6811157274605733,0.9138655462184874,2001,site_screening_profile,,,,3.8481680746812326,,spatial cross-fitted site-calibrated probability
Blair Waterway,Blair_Waterway_01,Blair Waterway,M3_full_nonstationary_random_field,3.89758444617881e-05,0,leave-one-site-family-out spatial validation,,,2.836706806850911,0.379904905,1.6811157274605733,0.9138655462184874,2001,site_screening_profile,,,,3.9506117537032837,,spatial cross-fitted site-calibrated probability
Boeing Field,Boeing_Field_01,Boeing Field,M0_static_stationary,0.8855306541786367,1,leave-one-site-family-out spatial validation,,,1.9223068068509113,1.398507877,1.2964777449343137,0.5819327731092436,2001,site_screening_profile,,,,-1.2030972443566035,,spatial cross-fitted site-calibrated probability
Boeing Field,Boeing_Field_01,Boeing Field,M1_nonstationary_groundwater_only,0.8883691676629341,1,leave-one-site-family-out spatial validation,,,1.9223068068509113,1.398507877,1.2964777449343137,0.5819327731092436,2001,site_screening_profile,,,,-1.2179008197460113,,spatial cross-fitted site-calibrated probability
Boeing Field,Boeing_Field_01,Boeing Field,M2_nonstationary_groundwater_gradation,0.8979422876090006,1,leave-one-site-family-out spatial validation,,,1.9223068068509113,1.398507877,1.2964777449343137,0.5819327731092436,2001,site_screening_profile,,,,-1.2699135534018746,,spatial cross-fitted site-calibrated probability
Boeing Field,Boeing_Field_01,Boeing Field,M3_full_nonstationary_random_field,0.9379899975888961,1,leave-one-site-family-out spatial validation,,,1.9223068068509113,1.398507877,1.2964777449343137,0.5819327731092436,2001,site_screening_profile,,,,-1.5381170215703666,,spatial cross-fitted site-calibrated probability
Bush School,Bush_School_01,Bush School,M0_static_stationary,0.005169737944580944,0,leave-one-site-family-out spatial validation,,,2.836706806850911,2.440316754,1.809845139010806,0.5819327731092436,2001,site_screening_profile,,,,2.564264363330906,,spatial cross-fitted site-calibrated probability
Bush School,Bush_School_01,Bush School,M1_nonstationary_groundwater_only,0.005146255050524211,0,leave-one-site-family-out spatial validation,,,2.836706806850911,2.440316754,1.809845139010806,0.5819327731092436,2001,site_screening_profile,,,,2.5658440182516244,,spatial cross-fitted site-calibrated probability
